TIC ID,TOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Planet Num,Source,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Sectors,Date TOI Created (UTC),Date TOI Modified (UTC),Comments
131419878,720.01,2,4,2,2,4,4,4,PC,,8.7629995,0.018,,1,qlp,07:52:08.93,-37:47:56.46,-11.569,0.838,8.914,0.732,2458494.08915,.00651,3.16043,0.00071,1.922,0.489,0.220785,0.00157,203.33,203.33,2.38866,.252569,616.95,1388,9,141.94113,8.9222403,6768,202,4.20824,.34906101,1.5694,.20466299,"8",2019-04-24 14:49:57,2019-05-24 10:00:02,"but neighboring star could be source of signal; needs SG1 to confirm host"
219195044,714.02,2,4,2,2,4,4,4,PC,,11.5,0.017,,2,spoc,06:09:34.17,-53:49:22.82,91.562,4.409,115.875,4.409,2458419.11033,.004984,10.177426,0.000761,2.177891,0.551747,0.980948,0.124499,903.078481,903.078481,3.21451,1.516739,21.677715,550.329919,7.754748,,,3782,,,,,,"4,5,6,7,8",2019-05-20 19:32:04,2019-05-24 10:00:02,"possibly main sequence star making the planet a bit smaller; low SNR"
219195044,714.01,2,4,2,2,4,4,4,PC,,11.5,0.017,,2,spoc,06:09:34.17,-53:49:22.82,91.562,4.409,115.875,4.409,2458412.838728,.003008,4.323236,0.000196,1.773307,0.272396,1.022697,0.100317,941.495566,941.495566,3.509204,.523373,67.886835,732.092808,10.554605,,,3782,,,,,,"4,5,6,7,8",2019-05-20 19:32:04,2019-05-24 10:00:02,"possibly main sequence star making the planet a bit smaller."
167600516,713.02,2,4,2,2,4,4,4,PC,,10.636,0.018,,2,spoc,06:48:05.13,-65:37:27.26,-18.572,1.203,-125.346,1.076,2458325.893909,.002086,1.871503,0.000041,1.038575,0.160414,0.260108,0.037677,239.539647,239.539647,1.144488,1.996881,221.718594,984.170354,7.710815,68.807495,2.43419,4316.7002,69,4.6085801,.2,.74094498,.086201802,"1,2,3,4,5,6,7,8",2019-05-20 19:32:04,2019-05-24 10:00:02,"low SNR; possible offset"
167600516,713.01,2,4,2,2,4,4,4,PC,,10.636,0.018,,2,spoc,06:48:05.13,-65:37:27.26,-18.572,1.203,-125.346,1.076,2458346.70682,.004352,36.000166,0.001307,4.366052,0.559388,1.210406,0.103894,1114.203536,1114.203536,2.445384,1.324148,4.3018,367.309629,10.927932,68.807495,2.43419,4316.7002,69,4.6085801,.2,.74094498,.086201802,"1,2,3,4,5,6,7,8",2019-05-20 19:32:04,2019-05-24 10:00:02,"single transit (i.e. the first transit)"
150151262,712.03,2,4,2,2,4,4,4,PC,,9.8450003,0.018,,3,spoc,06:11:44.67,-65:49:33.03,-2.109,0.896,30.771,0.7,2458417.120619,.005172,53.746482,0.005896,5.592988,0.414857,1.692398,0.185225,1557.541816,1557.541816,3.263156,1.020019,3.358264,345.261745,8.504271,57.998165,.83605897,4504,168,4.5883298,.2,.84264499,.12821101,"3,4,6,7,9",2019-05-20 19:32:04,2019-05-24 10:00:02,"first transit is momentum dump; second is likely a single transit"
150151262,712.02,2,4,2,2,4,4,4,PC,,9.8450003,0.018,,3,spoc,06:11:44.67,-65:49:33.03,-2.109,0.896,30.771,0.7,2458429.402097,.002701,51.705353,0.00388,4.825115,0.259357,1.999387,0.187951,1839.809288,1839.809288,3.77764,.71985,3.536179,349.746443,10.352905,57.998165,.83605897,4504,168,4.5883298,.2,.84264499,.12821101,"3,4,6,7,9",2019-05-20 19:32:04,2019-05-24 10:00:02,"two events; but note that the second transit is near a moment dump"
150151262,712.01,1,4,1,1,4,4,4,PC,,9.8450003,0.018,,3,spoc,06:11:44.67,-65:49:33.03,-2.109,0.896,30.771,0.7,2458385.542367,.002614,9.531637,0.000243,2.12038,0.173636,1.001441,0.081437,921.936218,921.936218,3.140625,.522923,33.704785,614.529365,12.299,57.998165,.83605897,4504,168,4.5883298,.2,.84264499,.12821101,"3,4,6,7,9",2019-05-20 19:32:04,2019-05-24 10:00:02,
38510224,711.01,2,4,2,2,4,4,4,PC,,11.676,0.018,,1,spoc,04:10:03.87,-61:56:33.58,4.471,3.284,-49.233,3.284,2458329.90807,.005331,18.383334,0.000862,2.928908,0.621668,1.279551,0.149507,1177.815437,1177.815437,2.391317,2.379363,10.690797,461.181916,8.19273,122.598,,4356,173,4.6047101,.2,.71052498,.072186902,"1,2,3,4,5,7,8",2019-05-20 19:32:03,2019-05-24 10:00:02,"low SNR; period was listed as 9.2 d in previous dv reports; but 18.4 d seems more accurate."
271971130,715.01,3,4,3,3,4,4,4,PC,,13.527,0.017,,1,spoc,07:35:24.55,-73:34:38.68,81.124,3.135,13.106,3.135,2458327.551446,.003868,19.287523,0.000516,2.066931,0.484864,5.3794,0.563071,4942.356614,4942.356614,7.06999,2.518181,4.039459,361.576795,9.530437,,,3075,,,,,,"1,2,3,4,5,6,7,8,9",2019-05-20 19:32:04,2019-05-24 10:00:02,"likely M-dwarf; smaller stellar radius and smaller planet radius."
