id;name;RA;Decl;V_mag;R_star;M_star;Priority;SpcType;comments;period;period_error;t0;t0_error;depth;duration;Rs_a;Mp;Rp;filler;public;tess;required_observations;done;t0_sg1;t0_error_sg1;period_sg1;period_error_sg1;duration_sg1;duration_error_sg1;Rp_sg1;comments_sg1;depth_sg1;plan_observations;rv_interested;master_disposition;publication_status_sg1;predicted_K_sg2;Teq_sg2;Teff_GAIA_sg2;insolation_sg2;observations;stellar_density
2637;"TOI06841.01";0.084558333333333;5.0444527777778;13.77;;;3;;;13.9285074;;2460217.1847;;13364;4;;;;0;;1;1;"No";2460217.1847;0.0022;13.9285074;0.0032048;0.166608845;0.2218918;9.6;"Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.";13364;;;"PC";;19.65;685;4913;36.7;0;
2847;"TOI07167.01";0.0993375;16.493866666667;12.64;;;3;;;13.723753;;2460563.7492;;3129;2.36;;;;0;;1;1;"No";2460563.7492;0.0023;13.723753;0.0032525;0.09830782511;0.22799125;7.7;"weak transit shape but only two transits; Gaia DR3 error ~ 3.43 km/s; only observed in s83; We now have four TRES observations. This is looking like an eclipsing binary with a mid M dwarf companion, probably with an eccentric orbit that is hiding the sole primary eclipse in a gap and a photometric ephemeris for the two secondary eclipses that are identified as the transits. Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.";3129;;;"PC";;10.53;1024;6266;182.7;0;
732;"TOI03991.01";0.20241666666667;62.803044444444;13.089;0;0;5;;"EPHEMERIS ERROR: 38 min TTF Comments: "The next observation should be focused and in a red (r', R, i', I, z) filter to determine the source, depth, and timing of the event off target."";2.2774846;0;2458981.868452;0;0;0.1565;0;0;0;0;1;1;1;"No";2458981.8685;0.007;2.27733;1.0E-5;0.1565;0.592;17.8;"[P=2.2774846] found in faint-star QLP search; Aviad Panahi, Tsevi Mazeh, and Shay Zucker report from 53 Gaia data points (4 in-transit), a 38 ppt event off-target. SAFFIs probably rule out ~1.5 ppt event on target but show a deeper event on 18 stars offset to 20"-62"NW, that is likely the source of a QLP signal. Update from AIJ-s58. [P=2.27733] The next observation should be focused and in a red (r', R, i', I, z) filter to determine the source, depth, and timing of the event off target.";1520;;;"NPC?";;181.64;2857;4910;11055.7;0;
978;"KELT-1b";0.35833333333333;39.383611111111;10.7;0;0;5;"F5";;1.217494;1.5E-5;2455914.1628;0.0023;0.006;0.115;0;0;0;0;1;;1;"No";;;;;;;;;;;;;;;;;;0;
160;"KELT-01_SE";0.36216666666667;39.383805555556;10.7;0;0;5;;"Enric, Roi, CHEOPS. S. Eclipse";1.21749448;0;2456093.7433872;0;0;0.11526;0;0;0;0;1;;1;"Yes";;;;;;;;;;;;;;;;;;5;
2217;"TOI06225.01";0.48482916666667;35.998030555556;15.5;;;3;;;8.555965;;2459867.4156635;;12373;1.865;;;;0;;1;1;"No";2459867.4157;0.0031;8.555965;2.89E-5;0.07770833333;0.302;5.1;"found in faint-star QLP search; K. Carden/TLS-Tautenburg TEST 0.3m observed a full on 20230718 in R and detected an ~on-time ~19ppt event using a contaminated 12” target aperture (T2:TIC 2043854852, T=17.3, ΔT=4.1, r=3.0” and T3:TIC 2043854853, T=17.7, ΔT=4.5, r=5.4”). The next observation should be a focused high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter using an aperture that excludes most of the flux from the 3.0" and 5.4" neighbors to determine the source and timing of the event. If not found on-target perform an NEBcheck. High-precision (<1.0 ppt/10 min) multi-band observations even better.";12373;;;"PC";;12.57;435;3458;5.9;0;
1891;"TOI05289.01";0.76026666666667;-7.7862361111111;12.6;;;3;;;3.4411264;;2459469.6152893;;2660;2.669;;;;0;;1;1;"No";2459469.6153;0.0033;3.4411264;5.87E-5;0.1112083333;0.38;4.9;"found in faint-star QLP search; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.";2660;;;"PC";;9.76;1183;5121;324.9;0;
2646;"TOI06865.01";0.9358125;11.332341666667;13.9;;;3;;;2.4465584;;2460231.8008;;2778;1.75;;;;0;;1;1;"No";2460231.8008;0.0046;2.4465584;1.0E-5;0.07304166667;0.301;4.7;"[P=2.4465664] found in faint-star QLP search; Rick Schwarz/ LCO-Teid-1m0 analyzed a ingress+75% (cut short by weather) on 20231216 in ip and detected a 10.0 min (1.4σ) early ~2.5 ppt ingress using an uncontaminated 6.6" target aperture and cleared 14/14 neighbors for NEBs to 2.5'. [P=2.4462884]. Update from AIJ-s42-s43+70. [P=2.4465584] Rick Schwarz/ Khalid Barkoui/ LCO-HAL-M3/ analyzed a defocused full on 20240908 in MUSCAT3 gp-rp-ip-zs and detected an ~on-time ~2.8 ppt (average; (Rp/R*)²: 2.3, 2.2, 2.2, 2.2 ppt) event using an uncontaminated 4.8" target aperture. On hold awaiting statistical validation or RV confirmation. No more SG1 observations needed at this time.";2778;;;"VPC+";;12.7;1077;4326;223.1;0;
904;"TOI04000.01";0.974625;64.776319444444;13.2;0;0;5;;"Cannot observe due to Dec limit. Special target proposed by Noriharu. Hot Jupiter around a hot star. For observing setting, see instruction by Noriharu circulated on Nov. 19, 2021.";3.702696;0;2458976.490639;0;0;0.1483;0;0;0;0;1;1;1;"No";2458976.4906;0.002;3.702696;5.2E-5;0.1583333333;0.193;20.3;"[P=3.7027660] found in faint-star QLP search; Aviad Panahi, Tsevi Mazeh, and Shay Zucker report from 51 Gaia data points (2 in-transit), a 14 ppt event on-target. The next observation should be in a red (r', R, i', I, z, Y) filter to refine the timing of the transit on target. Allyson Bieryla/KeplerCam observed a full on 20211128 in ip and detected a 16 min (1.9σ) early, 20 min longer (1σ) 13 ppt event using a 3.4" target aperture that is less than 50% contaminated with T2 (TIC 606918240 T = 16.8 ΔT = 4.2 r = 3.6" SW). The next observation should be a high precision (<1.0 ppt/5 min) full transit in a blue (U, u', B, g') filter to check chromaticity. Multi-band observations preferred.";11220;1;"ArielSC";"VPC";;90.87;2100;5459;3229.9;0;
545;"TOI02043.01";0.97754166666667;59.334680555556;10.604;0;0;5;;"Report: We observed a full on 2025-08-20 in gp, rp, ip, zs and detected an ~on-time 2.4, 1.7, 2.0, 2.2 ppt event using a 10.9" uncontaminated target aperture. The depths do not show strong chromaticity. EPHEMERIS ERROR: 22 min SG1 priority: 1 TTF Comments: The next observation would ideally provide extreme precision (<0.6 ppt/5 min) full transits to detect the shallow event on target in a red (r', R, i', I, z, Y) filter.";12.013;0;2458770.16483;0;0;0.170875;0;0;0;0;1;1;1;"Yes";2459899.4365;0.0042;12.0135482;6.6E-5;0.1756666667;0.465;3.8;"[P=12.0130000] crowded field; potential L1 candidate; Greg Srdoc observed a deep full (+/-10σ) on 20200820 in TESS-like band and reasonably cleared all stars except T10,11,15,32,37,57, and none of these show obvious NEBs. Update from qlp-s58-ffi. [P=12.0135482] The next observation would ideally provide extreme precision (<0.6 ppt/5 min) full transits to detect the shallow event on target in a red (r', R, i', I, z, Y) filter.";950;1;"SOPHIE(Hébrard)";"PPC";;3.36;967;5746;145.1;1;
3037;"TOI07407.01";0.990325;47.468586111111;13.72;;;3;;;4.4640757;;2460607.1176;;9715;0.0733333;;;;0;;1;1;"No";;;;;;;;;;;;"VPC";;;;;;0;
727;"TOI02045.01";1.11925;54.934497222222;11.304;0;0;3;;"EPHEMERIS ERROR: 14 min TTF Comments: "VPC No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) transits ***with at least 3.5 hr in-transit ceverage*** in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity."";9.07788;0;2458774.66777;0;0;0.258917;0;0;0;0;1;1;1;"No";2458774.6678;0.0023;9.07768;0.00012;0.2589166667;0.546;13;"[P=9.07788] shoulder before ingress and after egress; odd/even in qlp; SAFFIs are consisitent with on-target. Greg Srdoc observed a nominal full on 20200908 in TESS-like band and possibly detected ~on time ~3ppt transit in an uncontaminated 8.4" aperture. Since the filter is TESS-like, I'm not sure how to reconcile the apparent depth difference. Phill Reed and Lauren Murphy observed a full (w/ingress gap) on 20201006 in R and detected a ~10 min (1.2σ) early 5.6 ppt transit in an uncontaminated 6.8" target aperture. [P=9.07768] ChrisS analysed a near-full on 20201006 in 1m0 zs and detected a 5.5ppt on-time transit on-target. Ed Michaels observed a full on 20201006 in ip and detected an on-time ~4.5 ppt transit on-target that is apparently 30 min short. K. Barkaoui & KarenC analyzed an Ingress -60/90 min on 20201102 in 1m0 B,zs and detected on-time 5-7, 3-5 ppt ingresses on target. K. Barkaoui/LCO-McD-1m0 analyzed a full on 20211012 in B, zs and detected ~5.5 ppt ingresses in uncontaminated 4.3" target apertures. No more observations needed, except for multi-band or alternating filter high precision (<1.0 ppt/5 min) transits ***with at least 3.5 hr in-transit ceverage*** in blue (U, u', B, g') *and* very red (zp, zs, Y) to check for chromaticity.";5600;1;"HIRES-TKS(8, Howard)";"VPC";;30.08;1221;5787;369.3;0;
1803;"TOI03996.01";1.18675;54.196716666667;12.6;;;5;;;17.204572;;2458973.929734;;3770;4.987;;;;0;;1;1;"No";2458973.9297;0.0069;17.204474;0.0003;0.2077916667;0.656;21.5;"[P=17.2045720] V-shaped; found in faint-star QLP search; Update from AIJ-s57. [P=17.204474] Allyson Bieryla/ KeplerCam observed a nominal egress+50% (e-180/i+419 min: e-5.4σ/i+12.7σ) on 20230925 in ip and did not detect the ~3.8 ppt event on target with an uncontaminated aperture but did detect a ~200 ppt event on T4 (TIC 347011520; T=16.0, dT=4.0 r=12.5" W). GabrielleR/ AndrewV/ ZoeB/ used ZTF to check the PNEB status of TIC 347011522 (T62) and detected a 270 ppt signal on TIC 347011520 (T53, Tmag = 16.0, zho = 12.5”, PA = 261.8°). Retired as NEB.";3770;;;"NEB";;68.35;1077;5856;223;0;
2196;"TOI06192.01";1.6120583333333;37.855297222222;13.5;;;5;;"Observed on 26 October 2023, Report: We observed full on 20231026 in gp, rp, ip, zs and detected a 6.93 min early (2.1 sigma) (Rp/R*)^2: 3.1, 3.1, 5.3, 6.5 ppt event using 10.875" aperture contaminated with a neighbor star (ID 23, d~1"). The transit depths show a hint of chromaticity. We can rule out all the other identified nearby stars except for star-ID 23.";3.563037;;2459880.9760638;;4185;1.66;;;;0;;1;1;"Yes";2459880.9761;0.002;3.563083;9.4E-6;0.06916666667;0.783;7.1;"[P=3.5630370] found in faint-star QLP search; Eric Girardin/GdP observed a full on 20230906 in ip and detected an ~on-time ~3.3 ppt event using a 3.6” target aperture contaminated by T2 (TIC612021521, dT=3.9, r=1.3”) and cleared the field for obvious NEBs over the window. Jerome de Leon/ MuSCAT2 observed a full on UT 2023.10.26 in gp, rp, ip, zs and detected a ~6.9 min late (2.1 sigma) (Rp/R*)^2: 3.1, 3.1, 5.3, 6.5 ppt event using a contaminated ~10.9" target aperture (T2: dT=3.9, r=1.3"). [P=3.563083]. No more observations needed, except for **full-only** multi-band or alternating filter high precision (<1.0 ppt/10 min) data in at least blue (U, u', B, g') *and* red (i', I, z, Y) filters to refine the check on chromaticity at the revised ephemeris.";4185;;;"VPC-";;21.22;987;4911;157.7;1;
345;"TOI01492.01";1.8877916666667;32.437530555556;10.297;0;0;5;;"EPHEMERIS ERROR: 23 min reported as NEB by TFOP, need to chek our data. Our data is actually useless. Target done as is declared EB by TFOP Check field within 2.5' for NEBs using a red (rp, R, ip, I, z) filter.";0.86673;0;2458765.228149;0;0;0.045375;0;0;0;0;1;1;1;"Yes";2458765.2281;0.0038;0.86673;0.00021;0.045375;0.223;3.5;"Allyson observed a full on 20200118 in ip and detected a 300+ ppt PNEB in T4 (dT=6.2 , 41" NW, TIC 354594205). Small aperture FFIs confirms that the event occurs in T4. Retired as NEB.";663;;;"NEB";;7.42;2353;5904;5090.2;1;
723;"TOI04002.01";2.3355416666667;60.159077777778;13.597;0;0;5;;"EPHEMERIS ERROR: 21 min TTF Comments: "PC: found in faint-star QLP search; Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter."";3.3379425;0;2458981.831744;0;0;0.136125;0;0;0;0;1;1;1;"No";2458981.8317;0.0041;3.337942;9.9E-5;0.136125;0.686;18.5;"found in faint-star QLP search; centroid offset centered on another star (TIC 83053718 Tmag ~14.82) in spoc-s57 and s58 seen in spoc-s14-s60 report; there is also a centroid offset in qlp-s57-tois. Retired as NEB.";7200;;;"NEB";;118.71;2051;5386;2938.9;0;
2219;"TOI06229.01";2.4169958333333;28.243688888889;13.7;;;3;;;4.6071277;;2459875.7889063;;17579;2.266;;;;0;;1;1;"No";2459875.7889;0.0011;4.6071277;1.15E-5;0.09441666667;0.212;10.6;"found in faint-star QLP search; Avraham, Aviad, Tsevi, and Shay report from 44 Gaia data points (2 in-transit), a 16 ppt event on-target. Howie Relles/LCO-SAAO-0m35 analyzed on 20230722 in gp and detected an ~on-time ~20 ppt event in an uncontaminated 5.8" target aperture. K. Barkaoui/ TRAPPIST-N-0.6m observed a full on 20231012 in z filter and detected a ~14 ppt event using an uncontaminated 3.9” target aperture. On hold awaiting statistical validation or RV confirmation. No more SG1 observations needed at this time.";17579;;;"VPC+";;35.26;958;4876;139.7;0;
671;"TOI04001.01";2.5289583333333;64.572566666667;12.373;0;0;3;;"EPHEMERIS ERROR: 17min TTF Comments: "found in faint-star QLP search; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter."";4.898393;0;2458973.570023;0;0;0.113917;0;0;0;0;1;1;1;"No";2458973.57;0.0036;4.898393;0.000127;0.1139166667;0.305;5.1;"found in faint-star QLP search; Confirm event on target with high precision (<~1.5ppt/min) and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter.";2130;;;"PC";;7.82;1204;5457;348.9;0;
2758;"TOI02056.01";2.5995833333333;58.489438888889;;;;5;;"Observe on-focus Target CHEOPS S-valley (contact: Gaia Lacedelli)";10.2207;;2458771.6773;;;0.160333;;;;0;;1;1;"Yes";2458771.6773;0.0098;10.2207;0.00125;0.1603333333;0.621;3;"weak signal; weak BLS; potential L1 candidate; Phantom star 3.5" E (T=7.5), Real star T=11.7 4" E. AIJ does not see a consistent signal in s57 or s58, and QLP has not picked up the signal since s24. FA? No SG1 observations needed at this time.";300;;;"FA?";;2.09;1282;6567;448.7;1;
2761;"CHEOPSTOI02056.01";2.5995833333333;58.489438888889;7.74;;;5;;"Comments for observers: While observing, please use "TOI02056.01" as --target name Observe on-focus Target CHEOPS S-valley (contact: Gaia Lacedelli)";10.2207;;2458771.6773;;;0.160333;;;;0;;1;1;"No";;;;;;;;;;;;;;;;;;0;
2660;"TOI06893.01";2.8925708333333;4.7671222222222;8.7;;;5;;;99999.99;;2460231.5467;;1002;13.41;;;;0;1;1;1;"No";2460231.5467;0.0035;99999.99;0.01;0.5588826925;0.25396404;8.6;"HD 715. CTOI from Planet Hunters; single transit at ~3231 TBJD;";1002;1;"PFS(Venner - orbit), CORALIE (Ulmer-Moll), Minerva-Australis(20)";"STPC";"Venner Vanderburg Collins PFS Confirmation In Prep";1.48;152;5969;0.1;0;
2228;"TOI06242.01";2.9502583333333;27.442755555556;11.9;;;5;;"Observed on 25 October 2023, Report: We observed full and detected ~7ppt transit using the 10.875" uncontaminated aperture. The transit depths do not show chromaticity. We can rule out all the identified nearby stars.";5.6020298;;2459879.4644651;;6146;1.893;;;;0;;1;1;"Yes";2459879.4645;0.0008;5.6020298;7.8E-6;0.078875;0.256;11.4;"found in faint-star QLP search; Allyson Bieryla/ KeplerCam observed an egress+80% on 20231026 in ip and detected an ~on-time ~5 ppt egress using an uncontaminated 5.4" target aperture. Jerome de Leon/MuSCAT2 observed a full on 20231025 in gp, rp, ip, zs and detected an ~on-time (Rp/R*)^2 (gp,rp,ip,zs): 6.7, 6.4, 7.1, 6.9 ppt event using an uncontaminated ~10.9" target aperture. Retired as SBE1/VPC+. No more SG1 observations needed at this time.";6146;1;"Casey Murray, orbit in hand";"SEB1";;31.38;1330;5482;520.1;1;
2648;"TOI06868.01";3.27605;7.6602972222222;13.98;;;3;;;3.4106422;;2460227.7718;;4984;4.17;;;;0;;1;1;"No";2460227.7718;0.0037;3.4106422;2.13E-5;0.1739166667;0.621;11.9;"found in faint-star QLP search; Rick Schwarz/ Khalid Barkaoui/ LCO-HAL-M3 analyzed an ingress+80% on 20240925 in gp, rp, ip, zs and detected an ~on-time ~4.9 ppt (average; (Rp/R*)²: 4.0, 4.0, 4.3, 4.1 ppt) ingress using uncontaminated 3.7" to 4.5" target apertures. 7/7 neighbors were cleared to 2.5'. On hold awaiting statistical validation or RV confirmation. No more SG1 observations needed at this time.";4984;1;"ArielSC";"VPC+";;44.54;1678;4886;1315.1;0;
709;"TOI03997.01";3.3928333333333;59.896533333333;13.785;0;0;5;;"EPHEMERIS ERROR: 11 min TTF Comments: "PC: found in faint-star QLP search; Confirm event on target and/or check field for NEBs within 2.5' using a red (rp, R, ip, I, z) filter." Submitted to TFOP on 21 Sep 2021 Report: Tc: 2459475.6903073 ± 0.0007606 T14: 0.05847 ± 0.00299 days The transit was observed in g, i, and z_s bands (r-band was not available). We detect an achromatic transit event on target, the transit is V-shaped although it seems to be achromatic. We can also rule out EBs in the field.";3.459971;0;2458980.915963;0;0;0.05525;0;0;0;0;1;1;1;"Yes";2458980.916;0.0018;3.459971;5.6E-5;0.05525;0.254;12.5;"[P=3.459928] found in faint-star QLP search; Paul Benni observed a full on 20210904 in R and detected a 9 min late ~7 ppt transit in an uncontaminated 4.8" target aperture. [P=3.459971] Felipe/MuSCAT2 observed a full on 20210917 in gp,ip,zs and detected an ~on-time ~X ppt V-shaped event in an 11" target aperture that is partially contaminated with a 13" NNE neighbor. On hold awaiting validation or confirmation interest. No more SG1 observations needed at this time.";7060;;;"VPC+";;124.92;1572;5099;1013.8;1;
2644;"TOI06862.01";3.539475;7.1156111111111;12.53;;;3;;;8.2241876;;2460225.5457;;8621;3.5;;;;0;;1;1;"No";2460225.5457;0.0014;8.2248162;1.97E-5;0.145875;0.158;12;"[P=8.2241876] found in faint-star QLP search; RiccardoP/ CristilynW/ LCO-McD-0m35 analyzed a full on 20240807 in ip and detected a ~34 min (17σ) late ~8.5 ppt [(Rp/R*)²: 7.2 ppt] event using a contaminated 5.8" target aperture (T2: dT=5.7, r=3.1") and cleared 8/9 neighbors for NEBs over the window. A smaller 2.2" target aperture that excludes most of the flux from T2 results in a ~29 min late ~8.7 ppt event. [P=8.2248162] The next observation should be a high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter to check for the return of the transit at the revised ephemeris.";8621;1;"Tull (Gandolfi), WINE(FEROS:2)";"VPC";;30.69;1106;5426;248.6;0;
1563;"TOI06251.01";3.9579166666667;13.557616666667;12.6;;;5;;"A paper has been prepared (Kuzuhara, Fukui et al.).";25.522952715243;0;2459497.184957;0;;0.0435208;;;;0;;1;1;"Yes";2459497.185;0.0018;12.7614764;4.02E-5;0.04352079984;0.7485024;0.9;"[P=25.5229527] period may be half [P=12.76147635] Akihiko Fukui/MuSCAT3 observed an ODD full on 20230722 in g, r, i, zs and detected an ~on-time ~1 ppt event using uncontaminated 4.9" target apertures. The detection is least apparent in the gp band and the baseline in the lightcurves are not normalized. This observation confirms the P=12.76 d period. Jerome de Leon/MuSCAT2 observed an ODD full on 20230816 in gp, rp, ip, zs and did not detect the ~1.2 ppt event using an uncontaminated 10.9" target aperture. No more SG1 observations needed.";1180;1;"CARMENES (Palle); HARPS-N(GTO, 87), IRD (IRD-SSP 70+), MAROON-X (Brady), ESPRESSO (Wilson), KPF(Dai)";"VP";"Dholakia Validation Published Masayuki Kuzuhara Akihiko Fukui Validation Published [Only M3 GTO time used, so no other SG1 coauthors needed]";0.61;327;3572;1.9;2;
2643;"TOI06861.01";4.0439625;3.1372166666667;12.98;;;3;;;3.7942532;;2460232.1585;;6913;3.77;;;;0;;1;1;"No";2460232.1585;0.0026;3.7941506;2.08E-5;0.1570416667;0.262;11.4;"[P=3.7942532] found in faint-star QLP search; Francis Wilkin/ LCO-SAAO-0m35/ analyzed a full on 20240817 in ip and detected an ~12 min early, ~6.4 ppt [(Rp/R*)²: 5.5 ppt] event using an uncontaminated 6.7" target aperture. [P=3.7941506] The next observation should be a high precision (<1.0 ppt/10 min) full transit in a red (r', R, i', I, z) filter to check for the return of the transit at the revised ephemeris. Rick Schwarz/ LCO-McD-1m0/ analyzed a full on 20240828 in gp and detected an ~on-time ~6.0 ppt [(Rp/R*)²: 4.7 ppt] event using an uncontaminated 4.3" target aperture. On hold awaiting statistical validation or RV confirmation. No more SG1 observations needed at this time.";6913;;;"VPC+";;36.03;1602;5809;1092.7;0;
