# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909506 2.0020 2408.8 -0.935 0.031 20.59 20154.0 MSCL0_1701240051 1.009125 0.001646 1.009691 0.001685 1.010502 0.001726 1.011280 0.001769 1.011040 0.001811 
7777.910247 1.9890 2336.6 -1.152 -0.389 18.44 22298.0 MSCL0_1701240052 1.010162 0.001629 1.010741 0.001667 1.010986 0.001706 1.011131 0.001747 1.011468 0.001789 
7777.910988 1.9762 2289.5 -1.875 -0.652 20.32 20145.4 MSCL0_1701240053 1.005458 0.001597 1.006724 0.001635 1.007643 0.001673 1.007576 0.001711 1.007366 0.001751 
7777.911740 1.9633 2263.6 -0.495 0.616 20.60 18972.2 MSCL0_1701240054 1.010207 0.001597 1.011899 0.001635 1.012625 0.001673 1.013260 0.001714 1.013345 0.001755 
7777.912480 1.9509 2238.8 -1.299 -0.820 21.56 17699.9 MSCL0_1701240055 1.007770 0.001584 1.008772 0.001620 1.009971 0.001659 1.010882 0.001699 1.011210 0.001740 
7777.913232 1.9384 2215.8 -0.912 0.765 20.81 19861.0 MSCL0_1701240056 1.013227 0.001577 1.014215 0.001614 1.015512 0.001653 1.016655 0.001694 1.017405 0.001736 
7777.913984 1.9261 2207.2 -1.234 -0.501 20.25 19882.0 MSCL0_1701240057 1.007973 0.001558 1.008983 0.001595 1.010234 0.001634 1.010961 0.001674 1.011518 0.001716 
7777.914725 1.9142 2198.4 -1.542 -0.512 20.41 19439.1 MSCL0_1701240058 1.009527 0.001548 1.010278 0.001584 1.010999 0.001621 1.011789 0.001661 1.011628 0.001700 
7777.915466 1.9025 2154.3 -1.067 0.865 20.72 19832.8 MSCL0_1701240059 1.007561 0.001529 1.009007 0.001565 1.010722 0.001604 1.011862 0.001644 1.012325 0.001684 
7777.916218 1.8907 2140.8 -0.677 -0.072 19.46 22292.4 MSCL0_1701240060 1.008159 0.001522 1.008558 0.001557 1.008590 0.001593 1.008564 0.001631 1.008397 0.001670 
7777.916959 1.8793 2178.1 -1.143 -0.413 19.89 20868.3 MSCL0_1701240061 1.008165 0.001531 1.008588 0.001568 1.009524 0.001607 1.010152 0.001648 1.010341 0.001690 
7777.917700 1.8680 2076.7 -1.892 1.160 19.73 22260.5 MSCL0_1701240062 1.008650 0.001498 1.009106 0.001532 1.009806 0.001569 1.010228 0.001607 1.010444 0.001646 
7777.918452 1.8567 2044.5 -1.036 -0.068 21.81 17289.2 MSCL0_1701240063 1.005507 0.001479 1.006884 0.001514 1.008301 0.001551 1.008454 0.001587 1.008553 0.001625 
7777.919193 1.8458 2072.4 -0.676 -0.986 19.83 20067.9 MSCL0_1701240064 1.009089 0.001484 1.009924 0.001519 1.010637 0.001556 1.011321 0.001594 1.011611 0.001633 
7777.919922 1.8352 2675.1 -1.390 0.167 20.34 14644.7 MSCL0_1701240065 1.011654 0.001815 1.014030 0.001883 1.015509 0.001951 1.015490 0.002018 1.016682 0.002090 
7777.920674 1.8243 2006.4 -0.630 0.257 19.65 19402.8 MSCL0_1701240066 1.005685 0.001449 1.007127 0.001483 1.008754 0.001519 1.009249 0.001555 1.009556 0.001592 
7777.921415 1.8138 1979.1 -0.865 0.331 20.70 19891.4 MSCL0_1701240067 1.006596 0.001437 1.007837 0.001470 1.008982 0.001506 1.009633 0.001542 1.009515 0.001578 
7777.922156 1.8035 1964.7 -2.635 0.248 20.02 20619.5 MSCL0_1701240068 1.005532 0.001432 1.006186 0.001465 1.007292 0.001500 1.007909 0.001536 1.008322 0.001574 
7777.922896 1.7933 1950.4 0.188 -0.668 20.20 19980.8 MSCL0_1701240069 1.005603 0.001419 1.006466 0.001452 1.007276 0.001487 1.007374 0.001522 1.008079 0.001560 
7777.923637 1.7832 1933.8 -0.606 1.158 19.89 20995.1 MSCL0_1701240070 1.008227 0.001411 1.008832 0.001443 1.009501 0.001477 1.009948 0.001513 1.010294 0.001549 
7777.924389 1.7731 1914.6 -1.405 -0.641 20.48 20960.7 MSCL0_1701240071 1.005153 0.001398 1.005538 0.001430 1.006315 0.001464 1.007115 0.001500 1.007088 0.001535 
7777.925130 1.7633 1910.6 -0.870 0.329 18.95 21393.6 MSCL0_1701240072 1.007308 0.001398 1.008259 0.001430 1.009634 0.001466 1.009960 0.001501 1.010499 0.001538 
7777.925883 1.7534 1900.0 -1.327 -0.158 20.88 19707.6 MSCL0_1701240073 1.004652 0.001387 1.005759 0.001420 1.006260 0.001454 1.006652 0.001489 1.006736 0.001525 
7777.926623 1.7439 1874.3 -0.423 0.353 20.52 19032.1 MSCL0_1701240074 1.005689 0.001377 1.007114 0.001410 1.008026 0.001444 1.008521 0.001479 1.008446 0.001515 
7777.927364 1.7344 1858.9 -0.938 -0.417 20.59 19182.5 MSCL0_1701240075 1.004658 0.001368 1.005854 0.001400 1.006826 0.001434 1.007408 0.001469 1.007202 0.001503 
7777.928116 1.7250 1840.3 -0.891 1.614 20.25 19776.2 MSCL0_1701240076 1.005598 0.001361 1.006352 0.001393 1.007249 0.001426 1.007818 0.001461 1.007531 0.001496 
7777.928857 1.7158 1800.8 -0.526 -1.463 19.00 22275.3 MSCL0_1701240077 1.009093 0.001356 1.009749 0.001387 1.009896 0.001420 1.009942 0.001454 1.009606 0.001488 
7777.929598 1.7067 1781.8 -1.336 1.667 20.57 19764.8 MSCL0_1701240078 1.003336 0.001337 1.003997 0.001368 1.005240 0.001402 1.006231 0.001437 1.006569 0.001472 
7777.930339 1.6978 1768.9 -0.756 -1.323 18.97 22396.0 MSCL0_1701240079 1.005755 0.001333 1.006253 0.001364 1.006375 0.001396 1.006420 0.001429 1.006599 0.001464 
7777.931091 1.6888 1751.8 -0.685 0.820 18.70 21587.3 MSCL0_1701240080 1.005836 0.001328 1.006455 0.001359 1.007378 0.001392 1.007858 0.001426 1.007986 0.001461 
7777.931832 1.6801 1733.8 -0.871 0.394 21.21 17924.1 MSCL0_1701240081 1.003405 0.001315 1.005105 0.001346 1.006298 0.001379 1.006778 0.001412 1.007241 0.001447 
7777.932584 1.6714 1727.2 -0.816 0.109 20.63 19160.7 MSCL0_1701240082 1.006192 0.001316 1.007266 0.001348 1.008067 0.001380 1.008373 0.001413 1.008281 0.001448 
7777.933325 1.6629 1722.8 -1.833 -0.465 19.57 20329.0 MSCL0_1701240083 1.007506 0.001311 1.008931 0.001343 1.009727 0.001375 1.010507 0.001409 1.010727 0.001444 
7777.934042 1.6548 1700.1 0.628 0.878 19.34 21607.9 MSCL0_1701240084 1.006146 0.001304 1.007095 0.001335 1.007676 0.001368 1.007998 0.001401 1.008090 0.001436 
7777.934795 1.6463 1689.9 -1.581 -0.301 20.03 20521.5 MSCL0_1701240085 1.005917 0.001294 1.006639 0.001324 1.007414 0.001356 1.007422 0.001389 1.007141 0.001422 
7777.935535 1.6382 1669.5 0.070 -0.208 20.55 21120.3 MSCL0_1701240086 1.002763 0.001279 1.003148 0.001309 1.003367 0.001339 1.003299 0.001371 1.003260 0.001404 
7777.936276 1.6301 1648.2 -0.931 0.743 18.97 25107.4 MSCL0_1701240087 1.006159 0.001277 1.006163 0.001306 1.006570 0.001338 1.006814 0.001370 1.006897 0.001404 
7777.937017 1.6221 1626.8 -0.486 0.035 18.55 26745.9 MSCL0_1701240088 1.006661 0.001268 1.007455 0.001299 1.008050 0.001330 1.007993 0.001361 1.008029 0.001395 
7777.937769 1.6141 1633.5 -0.601 0.594 20.77 21617.4 MSCL0_1701240089 1.003450 0.001264 1.003848 0.001294 1.003885 0.001325 1.004194 0.001357 1.004004 0.001390 
7777.938510 1.6064 1624.7 -1.057 -0.928 20.82 21740.7 MSCL0_1701240090 1.002336 0.001254 1.002784 0.001283 1.003105 0.001313 1.003455 0.001345 1.003867 0.001378 
7777.939251 1.5987 1619.1 -0.994 0.624 19.31 22681.0 MSCL0_1701240091 1.002766 0.001250 1.003471 0.001280 1.004255 0.001311 1.004476 0.001343 1.004617 0.001376 
7777.939991 1.5911 1590.4 -0.889 -0.731 19.56 23691.2 MSCL0_1701240092 1.000710 0.001242 1.001054 0.001271 1.001564 0.001302 1.002260 0.001335 1.002563 0.001368 
7777.940732 1.5836 1578.3 -0.811 0.630 19.68 21739.5 MSCL0_1701240093 1.000905 0.001238 1.001660 0.001268 1.002245 0.001298 1.002626 0.001330 1.002636 0.001363 
7777.941484 1.5761 1579.2 -1.119 0.160 20.03 22250.1 MSCL0_1701240094 1.004114 0.001239 1.004856 0.001270 1.005679 0.001301 1.005544 0.001333 1.005582 0.001366 
7777.942225 1.5688 1569.3 -0.312 0.852 20.91 20235.3 MSCL0_1701240095 1.000531 0.001231 1.001442 0.001261 1.002242 0.001292 1.002457 0.001324 1.002551 0.001357 
7777.942966 1.5616 1561.7 -0.883 0.151 19.08 24491.7 MSCL0_1701240096 1.000548 0.001229 1.000547 0.001258 1.000941 0.001289 1.001150 0.001322 1.000940 0.001354 
7777.943718 1.5543 1552.1 -0.889 -0.162 19.89 22500.0 MSCL0_1701240097 1.000000 0.001216 1.000138 0.001245 0.999970 0.001274 1.000122 0.001306 1.000000 0.001338 
7777.944471 1.5472 1543.2 -0.525 0.322 19.50 23552.9 MSCL0_1701240098 1.000358 0.001216 1.000216 0.001245 1.000542 0.001275 1.000834 0.001307 1.000858 0.001340 
7777.945211 1.5402 1512.5 -1.111 0.526 19.51 23377.6 MSCL0_1701240099 0.998215 0.001206 0.999180 0.001235 1.000290 0.001267 1.000943 0.001299 1.001066 0.001331 
7777.945940 1.5334 1482.3 -0.162 -0.340 19.93 23157.7 MSCL0_1701240100 0.995554 0.001188 0.996104 0.001216 0.996289 0.001245 0.996128 0.001274 0.996360 0.001306 
7777.946681 1.5266 1461.8 -0.428 0.780 20.34 23672.9 MSCL0_1701240101 0.994631 0.001181 0.995129 0.001209 0.995438 0.001238 0.995342 0.001267 0.995915 0.001299 
7777.947422 1.5199 1454.2 -1.009 -0.255 19.95 24332.9 MSCL0_1701240102 0.993085 0.001176 0.993699 0.001204 0.993825 0.001233 0.993328 0.001262 0.993176 0.001293 
7777.948174 1.5132 1443.5 -0.288 0.064 19.25 27620.9 MSCL0_1701240103 0.994199 0.001172 0.994375 0.001199 0.994568 0.001228 0.994538 0.001258 0.994646 0.001289 
7777.948915 1.5066 1427.0 -1.721 0.375 19.09 25999.4 MSCL0_1701240104 0.992833 0.001164 0.992725 0.001191 0.992900 0.001219 0.993206 0.001249 0.994030 0.001281 
7777.949656 1.5002 1420.6 -0.413 -0.339 18.18 26914.9 MSCL0_1701240105 0.992134 0.001161 0.992252 0.001188 0.992381 0.001217 0.992283 0.001246 0.992478 0.001277 
7777.950385 1.4939 1396.8 -0.503 0.591 18.49 28241.9 MSCL0_1701240106 0.992920 0.001156 0.992430 0.001182 0.992247 0.001210 0.992451 0.001240 0.992320 0.001270 
7777.951137 1.4874 1384.5 -0.452 -0.285 18.54 27282.1 MSCL0_1701240107 0.989509 0.001142 0.989687 0.001168 0.990265 0.001196 0.990263 0.001225 0.989987 0.001254 
7777.951878 1.4812 1504.4 -0.840 0.527 18.86 25604.2 MSCL0_1701240108 0.991128 0.001236 0.990559 0.001269 0.990168 0.001304 0.990195 0.001341 0.989789 0.001378 
7777.952607 1.4751 2060.9 -0.577 0.493 19.07 16629.6 MSCL0_1701240109 0.983261 0.001740 0.983382 0.001815 0.983865 0.001893 0.983983 0.001972 0.984723 0.002054 
7777.953358 1.4689 1859.3 0.034 0.943 18.67 20012.0 MSCL0_1701240110 0.999319 0.001547 0.999260 0.001606 0.999487 0.001667 0.999058 0.001730 0.998900 0.001793 
7777.954088 1.4630 1595.7 -0.836 0.350 18.57 24654.9 MSCL0_1701240111 0.982727 0.001289 0.982563 0.001328 0.982574 0.001370 0.982192 0.001412 0.981968 0.001455 
7777.954828 1.4570 2562.4 -0.147 0.865 19.64 10423.3 MSCL0_1701240112 0.983350 0.003041 0.983247 0.003216 0.983674 0.003395 0.983662 0.003572 0.982301 0.003744 
7777.955569 1.4511 1947.4 -0.569 0.156 19.13 17256.3 MSCL0_1701240113 0.976877 0.001709 0.976760 0.001782 0.976454 0.001856 0.976052 0.001932 0.976764 0.002013 
7777.956321 1.4452 2029.3 -0.540 -0.019 18.23 14376.9 MSCL0_1701240114 0.987542 0.002078 0.987205 0.002177 0.987421 0.002281 0.987094 0.002385 0.987136 0.002492 
7777.957074 1.4394 1340.7 -0.871 0.189 18.11 28526.4 MSCL0_1701240115 0.989616 0.001138 0.989082 0.001164 0.988924 0.001193 0.988774 0.001223 0.988914 0.001255 
7777.957814 1.4337 1278.8 -0.593 0.414 19.07 27071.0 MSCL0_1701240116 0.988552 0.001100 0.988105 0.001125 0.988057 0.001151 0.987721 0.001178 0.987960 0.001207 
7777.958567 1.4280 1336.7 -0.461 -0.534 18.71 25100.8 MSCL0_1701240117 0.987901 0.001143 0.987448 0.001171 0.987864 0.001201 0.988172 0.001233 0.987979 0.001265 
7777.959307 1.4224 1354.4 -0.434 0.900 19.59 25645.8 MSCL0_1701240118 0.984306 0.001142 0.983545 0.001170 0.983499 0.001200 0.983611 0.001231 0.982993 0.001263 
7777.960048 1.4169 1273.7 -0.214 -0.118 18.89 28248.0 MSCL0_1701240119 0.985639 0.001086 0.985627 0.001110 0.985523 0.001136 0.985538 0.001163 0.985590 0.001191 
7777.960789 1.4115 1304.4 -0.877 0.344 19.05 24794.1 MSCL0_1701240120 0.986189 0.001108 0.986281 0.001135 0.986861 0.001164 0.986971 0.001193 0.987147 0.001223 
7777.961530 1.4061 1274.8 0.456 -0.361 19.31 26541.8 MSCL0_1701240121 0.985623 0.001083 0.985500 0.001108 0.985588 0.001134 0.985514 0.001162 0.985374 0.001190 
7777.962270 1.4008 1257.0 -0.804 0.534 18.89 28803.4 MSCL0_1701240122 0.985181 0.001076 0.985113 0.001101 0.984779 0.001126 0.984802 0.001154 0.984375 0.001181 
7777.963011 1.3955 1255.1 -0.424 0.411 17.86 34208.6 MSCL0_1701240123 0.985681 0.001074 0.985125 0.001099 0.985146 0.001125 0.984745 0.001152 0.984435 0.001179 
7777.963763 1.3903 1246.0 -0.171 -0.671 18.44 28437.5 MSCL0_1701240124 0.985023 0.001072 0.984784 0.001096 0.985170 0.001122 0.985054 0.001149 0.984881 0.001177 
7777.964504 1.3851 1223.1 -0.667 1.451 18.37 30503.8 MSCL0_1701240125 0.984888 0.001069 0.984643 0.001093 0.984088 0.001119 0.983853 0.001146 0.983613 0.001173 
7777.965257 1.3800 1207.8 -0.196 -0.689 19.04 28130.1 MSCL0_1701240126 0.983308 0.001062 0.982673 0.001085 0.983032 0.001111 0.982871 0.001137 0.982871 0.001165 
7777.965997 1.3750 1204.4 0.014 0.757 18.77 25599.5 MSCL0_1701240127 0.982943 0.001063 0.982789 0.001087 0.983094 0.001113 0.983381 0.001140 0.984000 0.001169 
7777.966738 1.3700 1180.7 -0.535 -0.159 18.77 25879.3 MSCL0_1701240128 0.985756 0.001064 0.986069 0.001088 0.986375 0.001114 0.986598 0.001141 0.986494 0.001169 
7777.967479 1.3651 1202.2 -0.360 0.473 18.20 28418.8 MSCL0_1701240129 0.984501 0.001094 0.984102 0.001120 0.983987 0.001149 0.984468 0.001179 0.984376 0.001209 
7777.968231 1.3602 1130.1 -0.662 0.081 18.39 30283.7 MSCL0_1701240130 0.984620 0.001046 0.983895 0.001068 0.983775 0.001093 0.983645 0.001118 0.983364 0.001144 
7777.968972 1.3554 1111.0 -0.493 -0.039 18.20 29721.4 MSCL0_1701240131 0.985542 0.001042 0.984908 0.001064 0.984830 0.001088 0.984568 0.001113 0.984520 0.001139 
7777.969713 1.3507 1114.7 0.124 -0.087 18.45 31460.9 MSCL0_1701240132 0.983284 0.001048 0.983294 0.001072 0.982802 0.001097 0.982891 0.001123 0.982857 0.001150 
7777.970465 1.3459 1082.2 -0.438 0.382 18.22 32545.8 MSCL0_1701240133 0.984692 0.001032 0.984035 0.001054 0.983846 0.001078 0.983287 0.001102 0.983347 0.001128 
7777.971206 1.3413 1070.6 -0.195 0.103 18.03 29246.8 MSCL0_1701240134 0.983842 0.001030 0.983686 0.001053 0.983497 0.001077 0.983479 0.001102 0.983519 0.001128 
7777.971958 1.3366 1076.2 -0.281 0.396 17.68 30170.7 MSCL0_1701240135 0.982618 0.001035 0.982105 0.001058 0.981650 0.001082 0.981311 0.001107 0.981041 0.001133 
7777.972699 1.3321 1125.1 -0.142 -0.332 18.42 26569.0 MSCL0_1701240136 0.981117 0.001074 0.980998 0.001100 0.980512 0.001127 0.980178 0.001155 0.979599 0.001184 
7777.973439 1.3276 1126.9 -0.733 0.245 18.73 24251.3 MSCL0_1701240137 0.981585 0.001085 0.981518 0.001111 0.981750 0.001140 0.981822 0.001170 0.982065 0.001200 
7777.974192 1.3231 1042.2 0.080 -0.149 19.05 23063.0 MSCL0_1701240138 0.978806 0.001022 0.979450 0.001046 0.980397 0.001070 0.980283 0.001095 0.980648 0.001121 
7777.974932 1.3187 1103.0 -0.772 0.298 18.51 23587.5 MSCL0_1701240139 0.978290 0.001075 0.977981 0.001101 0.978083 0.001129 0.977998 0.001158 0.978225 0.001188 
7777.975685 1.3143 1203.5 0.062 0.070 18.40 24638.7 MSCL0_1701240140 0.988201 0.001147 0.987958 0.001178 0.988093 0.001212 0.988128 0.001247 0.988079 0.001282 
7777.976437 1.3100 2250.1 0.584 1.208 19.73 7725.7 MSCL0_1701240141 0.970013 0.003726 0.970908 0.003952 0.972256 0.004184 0.973906 0.004425 0.973908 0.004654 
7777.977178 1.3058 2577.5 77.631 -53.593 19.05 3771.0 MSCL0_1701240142 0.414063 0.006430 0.413826 0.006822 0.415308 0.007243 0.416477 0.007680 0.417439 0.008124 
7777.977919 1.3016 2171.4 -2.464 -0.972 19.35 4676.0 MSCL0_1701240143 0.987723 0.008299 0.988385 0.008855 0.993349 0.009483 0.992675 0.010045 0.992243 0.010615 
7777.978659 1.2974 1620.5 -3.881 -0.876 19.11 10678.9 MSCL0_1701240144 0.992857 0.002354 0.992127 0.002471 0.991446 0.002591 0.991768 0.002718 0.991346 0.002842 
7777.979388 1.2934 994.0 -1.823 -0.343 20.51 24642.3 MSCL0_1701240145 0.982699 0.001012 0.982633 0.001034 0.982739 0.001058 0.982796 0.001083 0.982882 0.001110 
7777.980141 1.2893 965.8 0.162 0.278 18.58 32878.0 MSCL0_1701240146 0.981303 0.000985 0.980902 0.001006 0.980548 0.001028 0.980353 0.001051 0.979945 0.001074 
7777.980882 1.2853 962.7 -0.020 -0.527 18.12 31006.9 MSCL0_1701240147 0.980387 0.000984 0.979631 0.001004 0.979482 0.001026 0.979032 0.001049 0.979075 0.001073 
7777.981634 1.2813 959.1 -0.626 0.460 17.80 32719.9 MSCL0_1701240148 0.983748 0.000982 0.983064 0.001003 0.982682 0.001024 0.982915 0.001048 0.982765 0.001071 
7777.982386 1.2773 963.6 0.256 -0.299 18.16 32802.8 MSCL0_1701240149 0.984185 0.000987 0.983464 0.001008 0.982956 0.001030 0.982604 0.001054 0.982410 0.001078 
7777.983127 1.2734 960.9 0.190 0.449 17.81 35477.6 MSCL0_1701240150 0.984231 0.000984 0.983564 0.001004 0.983023 0.001026 0.982538 0.001049 0.982067 0.001073 
7777.983879 1.2695 956.2 -0.873 -0.309 17.35 37654.3 MSCL0_1701240151 0.982413 0.000978 0.981226 0.000998 0.981189 0.001021 0.980771 0.001043 0.980318 0.001067 
7777.984620 1.2657 949.5 0.440 0.456 18.08 33579.3 MSCL0_1701240152 0.984008 0.000980 0.983323 0.001000 0.983099 0.001022 0.983083 0.001046 0.982859 0.001070 
7777.985372 1.2619 943.1 0.188 -0.667 17.23 39445.1 MSCL0_1701240153 0.984314 0.000979 0.983381 0.001000 0.983221 0.001022 0.982929 0.001045 0.982631 0.001069 
7777.986125 1.2582 933.6 -0.632 0.901 17.88 34597.2 MSCL0_1701240154 0.984604 0.000973 0.983262 0.000992 0.982901 0.001013 0.982310 0.001036 0.982007 0.001059 
7777.986865 1.2545 933.1 0.196 -0.346 17.57 32636.1 MSCL0_1701240155 0.984226 0.000977 0.983460 0.000997 0.983405 0.001020 0.983249 0.001043 0.982749 0.001066 
7777.987606 1.2509 928.2 -0.091 0.000 18.21 32126.3 MSCL0_1701240156 0.981634 0.000969 0.981081 0.000989 0.980970 0.001011 0.980925 0.001033 0.980586 0.001056 
7777.988347 1.2473 910.0 -0.437 -0.041 17.55 36409.4 MSCL0_1701240157 0.986384 0.000966 0.985565 0.000985 0.985255 0.001007 0.985148 0.001029 0.985154 0.001052 
7777.989088 1.2438 896.1 0.410 0.004 17.67 35461.7 MSCL0_1701240158 0.983271 0.000954 0.982460 0.000974 0.982327 0.000994 0.981947 0.001016 0.981950 0.001039 
7777.989840 1.2402 884.7 -0.510 0.403 17.98 32563.5 MSCL0_1701240159 0.984331 0.000952 0.983591 0.000971 0.983378 0.000992 0.983291 0.001013 0.983365 0.001036 
7777.990581 1.2368 874.0 0.360 -0.938 16.84 36605.4 MSCL0_1701240160 0.984761 0.000950 0.983830 0.000969 0.983267 0.000990 0.982875 0.001011 0.982511 0.001033 
7777.991321 1.2333 860.8 -0.310 0.783 17.59 39004.5 MSCL0_1701240161 0.984547 0.000944 0.983651 0.000963 0.983378 0.000983 0.983099 0.001004 0.983036 0.001026 
7777.992051 1.2300 852.3 -0.060 -0.722 17.73 36922.2 MSCL0_1701240162 0.983601 0.000938 0.982428 0.000956 0.981704 0.000976 0.981411 0.000996 0.981016 0.001017 
7777.992791 1.2267 840.3 0.262 0.611 17.14 42468.5 MSCL0_1701240163 0.983568 0.000934 0.982352 0.000952 0.981721 0.000971 0.981087 0.000991 0.980629 0.001012 
7777.993543 1.2233 907.3 0.043 -0.234 17.51 37513.3 MSCL0_1701240164 0.987609 0.001012 0.986335 0.001035 0.985570 0.001059 0.985012 0.001085 0.984817 0.001112 
7777.994283 1.2200 827.1 -0.130 0.229 17.14 41065.1 MSCL0_1701240165 0.986826 0.000936 0.985435 0.000953 0.985038 0.000973 0.984485 0.000993 0.984362 0.001015 
7777.995036 1.2167 819.2 0.130 -0.014 17.71 38260.8 MSCL0_1701240166 0.986041 0.000933 0.985004 0.000951 0.984369 0.000970 0.984034 0.000991 0.983645 0.001012 
7777.995776 1.2135 812.3 0.097 0.143 17.31 39272.5 MSCL0_1701240167 0.985705 0.000929 0.984540 0.000946 0.984047 0.000965 0.983793 0.000985 0.983595 0.001006 
7777.996506 1.2104 807.0 -0.219 0.035 17.20 45902.6 MSCL0_1701240168 0.987548 0.000933 0.986146 0.000950 0.985512 0.000970 0.985140 0.000990 0.984956 0.001012 
7777.997246 1.2073 796.0 0.506 0.056 17.36 45264.0 MSCL0_1701240169 0.988071 0.000926 0.986638 0.000943 0.986145 0.000962 0.985665 0.000982 0.985515 0.001002 
7777.997987 1.2042 791.9 -0.143 -0.052 21.09 29901.8 MSCL0_1701240170 0.984998 0.000924 0.984684 0.000942 0.984537 0.000961 0.984328 0.000981 0.984480 0.001003 
7777.998728 1.2011 788.8 0.306 0.087 21.37 27445.1 MSCL0_1701240171 0.986318 0.000925 0.986480 0.000943 0.986298 0.000963 0.986038 0.000983 0.986611 0.001005 
7777.999469 1.1981 787.5 0.135 0.226 20.87 28709.9 MSCL0_1701240172 0.985976 0.000922 0.985852 0.000940 0.985686 0.000959 0.985406 0.000979 0.985713 0.001001 
7778.000221 1.1951 781.6 0.117 -0.118 21.20 27975.0 MSCL0_1701240173 0.985312 0.000919 0.985475 0.000938 0.985488 0.000957 0.985374 0.000977 0.985199 0.000998 
7778.000962 1.1921 771.8 -0.225 0.250 21.57 27606.5 MSCL0_1701240174 0.988473 0.000918 0.988682 0.000937 0.988981 0.000956 0.988713 0.000976 0.988632 0.000996 
7778.001714 1.1891 771.4 -0.027 0.037 21.36 27937.5 MSCL0_1701240175 0.989521 0.000923 0.989756 0.000941 0.989674 0.000961 0.989782 0.000981 0.990045 0.001003 
7778.002455 1.1862 768.6 0.371 0.271 21.44 27221.4 MSCL0_1701240176 0.988712 0.000919 0.988775 0.000937 0.988761 0.000956 0.988357 0.000976 0.988317 0.000996 
7778.003195 1.1834 760.2 0.165 -0.059 21.02 30021.6 MSCL0_1701240177 0.990351 0.000919 0.990038 0.000936 0.989736 0.000955 0.989473 0.000975 0.989776 0.000996 
7778.003948 1.1805 756.2 0.236 0.017 20.91 29757.0 MSCL0_1701240178 0.994015 0.000920 0.993551 0.000938 0.993231 0.000957 0.993412 0.000977 0.993323 0.000998 
7778.004688 1.1777 749.3 -0.096 0.552 21.62 29570.0 MSCL0_1701240179 0.995046 0.000921 0.994699 0.000939 0.994574 0.000959 0.994064 0.000978 0.994321 0.001000 
7778.005429 1.1750 738.2 0.284 -0.229 21.20 30242.1 MSCL0_1701240180 0.993901 0.000915 0.993897 0.000933 0.993933 0.000951 0.993534 0.000971 0.993478 0.000991 
7778.006158 1.1723 728.4 0.061 -0.328 20.45 31177.3 MSCL0_1701240181 0.994649 0.000916 0.994273 0.000933 0.994270 0.000952 0.994186 0.000972 0.994116 0.000993 
7778.006911 1.1695 710.9 0.494 0.069 20.77 30044.0 MSCL0_1701240182 0.995235 0.000913 0.994976 0.000930 0.994982 0.000949 0.994651 0.000968 0.994554 0.000988 
7778.007651 1.1668 704.7 0.000 0.449 21.62 27744.5 MSCL0_1701240183 0.996054 0.000913 0.995922 0.000930 0.995786 0.000949 0.995720 0.000968 0.995856 0.000989 
7778.008404 1.1642 699.7 0.123 -0.465 21.16 27413.7 MSCL0_1701240184 0.996652 0.000912 0.996491 0.000929 0.996080 0.000947 0.995991 0.000966 0.996010 0.000987 
7778.009144 1.1616 695.1 0.180 0.523 21.32 28740.5 MSCL0_1701240185 0.997833 0.000912 0.997721 0.000929 0.997755 0.000948 0.997591 0.000967 0.997339 0.000987 
7778.009897 1.1589 690.6 0.282 0.069 21.59 28084.9 MSCL0_1701240186 0.997642 0.000909 0.997362 0.000926 0.996928 0.000944 0.996994 0.000963 0.997301 0.000983 
7778.010637 1.1564 687.1 -0.076 -0.308 21.34 28324.8 MSCL0_1701240187 0.996969 0.000906 0.996513 0.000923 0.996334 0.000941 0.995920 0.000960 0.996010 0.000980 
7778.011390 1.1538 683.5 0.368 0.092 20.86 30460.8 MSCL0_1701240188 0.999183 0.000905 0.998862 0.000921 0.998749 0.000939 0.998355 0.000958 0.998221 0.000977 
7778.012131 1.1513 680.6 0.481 -0.147 21.61 29439.3 MSCL0_1701240189 1.002028 0.000907 1.001873 0.000924 1.001877 0.000942 1.001817 0.000961 1.001779 0.000981 
7778.012871 1.1489 678.2 0.090 -0.294 20.64 31902.4 MSCL0_1701240190 1.001622 0.000903 1.001379 0.000920 1.001083 0.000938 1.000579 0.000956 1.000388 0.000975 
7778.013612 1.1464 672.6 0.101 0.339 21.73 26309.0 MSCL0_1701240191 1.000193 0.000899 1.000559 0.000916 1.000484 0.000934 1.000425 0.000952 1.000451 0.000972 
7778.014353 1.1440 670.5 0.840 -0.505 21.81 26521.5 MSCL0_1701240192 1.000017 0.000897 1.000456 0.000914 1.000713 0.000932 1.000600 0.000951 1.000875 0.000970 
