# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909298 2.0057 896.1 -0.054 -0.136 18.77 23569.4 MSCL1_1701240051 1.004758 0.002424 1.004816 0.002457 1.004596 0.002492 1.005169 0.002530 1.005548 0.002570 
7777.909587 2.0006 895.4 1.236 1.254 19.26 20315.0 MSCL1_1701240052 1.004186 0.002423 1.004834 0.002458 1.005554 0.002496 1.005391 0.002533 1.005738 0.002573 
7777.909877 1.9955 886.2 0.085 -0.773 19.02 21436.0 MSCL1_1701240053 1.004609 0.002410 1.006354 0.002448 1.006855 0.002485 1.007536 0.002524 1.007873 0.002564 
7777.910154 1.9906 869.2 0.250 -0.267 17.84 23147.4 MSCL1_1701240054 1.001420 0.002389 1.001712 0.002422 1.002497 0.002459 1.003276 0.002497 1.003185 0.002535 
7777.910444 1.9856 857.0 0.903 0.744 16.32 28702.4 MSCL1_1701240055 1.004072 0.002385 1.003622 0.002416 1.003289 0.002449 1.003091 0.002484 1.003128 0.002522 
7777.910733 1.9806 845.5 -0.327 1.313 19.17 21154.6 MSCL1_1701240056 1.001389 0.002367 1.002240 0.002400 1.002680 0.002435 1.003004 0.002471 1.003611 0.002510 
7777.911011 1.9758 849.2 -0.814 -1.313 19.38 22330.1 MSCL1_1701240057 1.003360 0.002367 1.004149 0.002401 1.004782 0.002437 1.005208 0.002474 1.005871 0.002513 
7777.911300 1.9708 853.5 1.003 -0.564 18.62 22824.1 MSCL1_1701240058 1.004840 0.002362 1.005642 0.002396 1.005851 0.002431 1.005978 0.002467 1.005786 0.002504 
7777.911578 1.9661 848.1 1.617 1.504 17.79 23667.0 MSCL1_1701240059 1.006074 0.002356 1.006904 0.002390 1.006698 0.002423 1.006520 0.002458 1.006872 0.002497 
7777.911856 1.9614 841.4 0.810 1.430 19.73 19142.5 MSCL1_1701240060 1.004605 0.002348 1.006400 0.002385 1.007648 0.002423 1.008518 0.002461 1.008637 0.002499 
7777.912134 1.9567 835.2 0.584 -1.304 20.17 18677.5 MSCL1_1701240061 1.003422 0.002333 1.004214 0.002366 1.004868 0.002400 1.005503 0.002437 1.005525 0.002473 
7777.912410 1.9520 836.3 0.420 -1.407 20.05 17662.8 MSCL1_1701240062 0.999422 0.002324 1.001160 0.002359 1.002167 0.002395 1.002395 0.002430 1.002292 0.002467 
7777.912688 1.9474 835.4 -0.227 1.190 18.62 20989.1 MSCL1_1701240063 0.997340 0.002309 0.998409 0.002344 0.999020 0.002379 0.998876 0.002413 0.999026 0.002451 
7777.912977 1.9426 836.1 -0.142 1.370 21.30 17054.4 MSCL1_1701240064 1.001190 0.002314 1.002999 0.002350 1.004316 0.002386 1.005360 0.002425 1.006065 0.002464 
7777.913244 1.9382 829.4 1.078 1.085 18.55 21913.7 MSCL1_1701240065 1.005051 0.002313 1.006234 0.002348 1.007407 0.002385 1.008229 0.002423 1.008862 0.002463 
7777.913521 1.9337 823.1 1.147 0.943 19.04 26261.0 MSCL1_1701240066 1.005538 0.002302 1.005473 0.002334 1.005419 0.002367 1.005455 0.002403 1.005150 0.002439 
7777.913811 1.9290 823.9 1.455 0.468 19.23 21044.3 MSCL1_1701240067 1.004142 0.002293 1.004723 0.002326 1.005318 0.002361 1.005397 0.002397 1.005885 0.002435 
7777.914089 1.9245 833.7 -0.135 -0.844 18.80 22624.1 MSCL1_1701240068 1.002272 0.002284 1.003083 0.002319 1.003542 0.002354 1.004087 0.002391 1.004061 0.002428 
7777.914366 1.9200 837.7 -2.089 -0.156 20.95 18551.8 MSCL1_1701240069 1.005210 0.002289 1.005381 0.002322 1.005365 0.002356 1.005333 0.002392 1.005700 0.002431 
7777.914656 1.9153 838.6 -0.266 -0.970 17.71 24231.1 MSCL1_1701240070 1.002689 0.002277 1.002866 0.002310 1.003931 0.002348 1.004544 0.002386 1.005148 0.002426 
7777.914945 1.9107 828.2 1.045 0.002 19.36 19505.1 MSCL1_1701240071 1.000655 0.002258 1.002324 0.002294 1.003134 0.002329 1.003887 0.002367 1.003972 0.002404 
7777.915234 1.9061 815.2 2.159 2.034 18.09 24394.1 MSCL1_1701240072 1.002077 0.002253 1.002145 0.002285 1.002632 0.002320 1.002298 0.002355 1.002261 0.002392 
7777.915512 1.9017 810.6 -0.769 0.374 20.65 20624.7 MSCL1_1701240073 1.000064 0.002239 1.001189 0.002272 1.002394 0.002309 1.002663 0.002344 1.002884 0.002381 
7777.915813 1.8970 802.1 0.512 1.219 17.50 23198.2 MSCL1_1701240074 1.005460 0.002246 1.006225 0.002280 1.006986 0.002315 1.007340 0.002351 1.007473 0.002389 
7777.916091 1.8927 805.0 1.397 0.464 18.90 22033.0 MSCL1_1701240075 0.996699 0.002217 0.997060 0.002249 0.997663 0.002284 0.998315 0.002321 0.998328 0.002358 
7777.916380 1.8882 810.9 0.053 -0.389 17.98 26536.3 MSCL1_1701240076 1.000720 0.002223 1.000962 0.002256 1.000864 0.002290 1.000916 0.002326 1.000909 0.002364 
