# BJD(TDB)-2450000 airmass sky(ADU) dx(pix) dy(pix) fwhm(pix) peak(ADU) frame flux(r=28.0) err(r=28.0) flux(r=30.0) err(r=30.0) flux(r=32.0) err(r=32.0) flux(r=34.0) err(r=34.0) flux(r=36.0) err(r=36.0) 
7777.909495 2.0022 418.7 1.593 1.054 20.55 21855.3 MSCL2_1701240051 1.002226 0.002057 1.002272 0.002112 1.002573 0.002169 1.003201 0.002230 1.003407 0.002292 
7777.910120 1.9912 409.6 1.257 0.148 19.23 23590.5 MSCL2_1701240052 1.000772 0.002049 1.001156 0.002104 1.001578 0.002162 1.003091 0.002226 1.002709 0.002286 
7777.910756 1.9802 404.8 0.634 1.202 20.15 22171.3 MSCL2_1701240053 1.000110 0.002032 1.000779 0.002087 1.001167 0.002145 1.000985 0.002202 1.000425 0.002260 
7777.911381 1.9694 407.4 2.002 0.604 20.44 21555.5 MSCL2_1701240054 1.001981 0.002026 1.002445 0.002081 1.002596 0.002137 1.002798 0.002196 1.003040 0.002257 
7777.912006 1.9588 404.7 1.591 0.304 22.34 17479.3 MSCL2_1701240055 1.000567 0.002019 1.001637 0.002074 1.002729 0.002133 1.002974 0.002191 1.003144 0.002251 
7777.912642 1.9482 406.1 0.894 1.452 20.97 19397.9 MSCL2_1701240056 0.995792 0.002001 0.997478 0.002058 0.998461 0.002116 0.998920 0.002175 0.999675 0.002238 
7777.913278 1.9376 403.2 1.628 1.511 20.26 21910.9 MSCL2_1701240057 1.003399 0.002013 1.004490 0.002070 1.005566 0.002130 1.006195 0.002191 1.006829 0.002254 
7777.913903 1.9274 399.5 1.595 0.454 20.22 22073.6 MSCL2_1701240058 1.001442 0.001998 1.001841 0.002054 1.001640 0.002110 1.002603 0.002172 1.003017 0.002235 
7777.914540 1.9172 397.1 -0.176 0.060 21.20 20814.0 MSCL2_1701240059 1.005927 0.001996 1.007002 0.002053 1.007478 0.002111 1.008191 0.002171 1.007427 0.002229 
7777.915165 1.9072 392.8 2.337 1.645 20.73 20942.2 MSCL2_1701240060 1.000403 0.001975 1.001186 0.002031 1.001154 0.002086 1.001789 0.002146 1.001300 0.002205 
7777.915790 1.8974 391.9 0.734 1.250 20.27 22901.0 MSCL2_1701240061 1.001864 0.001971 1.001788 0.002024 1.002363 0.002081 1.002789 0.002140 1.002696 0.002201 
7777.916427 1.8875 393.1 1.113 0.150 19.91 25046.0 MSCL2_1701240062 1.001432 0.001963 1.001451 0.002017 1.001515 0.002075 1.001937 0.002135 1.001439 0.002194 
7777.917052 1.8779 413.8 1.281 0.362 20.88 21373.9 MSCL2_1701240063 1.003108 0.002009 1.003549 0.002068 1.004598 0.002133 1.005296 0.002198 1.005753 0.002266 
7777.917665 1.8685 382.4 0.562 2.234 19.82 25254.7 MSCL2_1701240064 1.002097 0.001944 1.002604 0.001999 1.002255 0.002054 1.003266 0.002115 1.002269 0.002173 
7777.918302 1.8590 381.0 1.601 -0.058 21.70 18616.9 MSCL2_1701240065 1.002893 0.001941 1.004040 0.001997 1.004717 0.002054 1.004657 0.002111 1.004286 0.002170 
7777.918938 1.8495 378.9 0.425 1.086 20.09 22326.9 MSCL2_1701240066 0.999311 0.001926 1.000365 0.001982 1.000512 0.002038 1.001241 0.002098 1.001492 0.002159 
7777.919563 1.8404 453.4 2.317 -0.341 20.98 17907.7 MSCL2_1701240067 0.996624 0.002055 0.998414 0.002124 0.999130 0.002193 0.999889 0.002265 0.999699 0.002336 
7777.920200 1.8311 553.5 -0.091 1.461 19.91 17869.3 MSCL2_1701240068 1.014665 0.002393 1.015514 0.002485 1.016159 0.002581 1.017675 0.002684 1.018497 0.002787 
7777.920836 1.8220 375.8 1.042 0.895 20.51 20286.7 MSCL2_1701240069 1.001478 0.001914 1.002539 0.001968 1.003317 0.002025 1.003554 0.002082 1.004009 0.002143 
7777.921461 1.8132 377.6 1.602 1.145 20.81 21121.2 MSCL2_1701240070 0.999838 0.001892 1.000512 0.001946 1.000909 0.002002 1.000685 0.002058 1.000383 0.002116 
7777.922086 1.8044 369.2 0.237 1.091 19.76 23461.2 MSCL2_1701240071 0.997754 0.001884 0.998151 0.001937 0.997686 0.001990 0.998541 0.002049 0.998601 0.002108 
7777.922700 1.7959 371.7 1.325 0.514 20.70 21153.7 MSCL2_1701240072 0.998288 0.001890 0.999648 0.001946 1.000436 0.002004 1.000853 0.002062 1.001115 0.002123 
7777.923336 1.7872 367.2 1.248 1.324 20.23 21677.2 MSCL2_1701240073 1.002598 0.001887 1.002646 0.001941 1.002621 0.001997 1.002946 0.002056 1.002779 0.002116 
7777.923950 1.7790 367.1 1.134 0.717 21.01 22030.1 MSCL2_1701240074 1.000694 0.001877 1.000923 0.001931 1.000931 0.001987 1.001392 0.002047 1.001238 0.002106 
7777.924575 1.7706 366.1 0.622 0.509 18.04 24541.2 MSCL2_1701240075 0.997797 0.001862 0.998029 0.001915 0.998085 0.001970 0.998262 0.002027 0.998180 0.002085 
7777.925200 1.7623 364.6 1.033 0.723 20.19 22295.9 MSCL2_1701240076 1.007353 0.001888 1.007556 0.001943 1.007459 0.001999 1.008098 0.002060 1.007428 0.002118 
7777.925825 1.7542 366.0 0.890 0.527 20.85 21592.4 MSCL2_1701240077 0.998453 0.001850 0.999098 0.001905 0.998892 0.001959 0.998975 0.002016 0.999075 0.002075 
