# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909506 2.0020 -8.452 -0.935 0.031 20.40 -10.999 MSCL0_1701240051 -16.96671 0.00151 -17.15210 -16.97099 0.00110 -17.15368 -16.97402 0.00111 -17.15480 -16.97648 0.00113 -17.15596 -16.97849 0.00114 -17.15681 
7777.910247 1.9890 -8.419 -1.152 -0.389 18.66 -11.100 MSCL0_1701240052 -16.97401 0.00150 -17.15821 -16.97844 0.00150 -17.16006 -16.98149 0.00110 -17.16128 -16.98370 0.00111 -17.16232 -16.98589 0.00113 -17.16317 
7777.910988 1.9762 -8.397 -1.875 -0.652 20.48 -10.963 MSCL0_1701240053 -16.97846 0.00150 -17.16571 -16.98347 0.00150 -17.16729 -16.98697 0.00150 -17.16863 -16.98915 0.00110 -17.16949 -16.99102 0.00112 -17.17038 
7777.911740 1.9633 -8.385 -0.495 0.616 20.46 -10.938 MSCL0_1701240054 -16.98341 0.00150 -17.17121 -16.98908 0.00150 -17.17315 -16.99241 0.00151 -17.17467 -16.99475 0.00151 -17.17567 -16.99685 0.00111 -17.17642 
7777.912480 1.9509 -8.373 -1.299 -0.820 21.79 -10.858 MSCL0_1701240055 -16.98065 0.00151 -17.17055 -16.98735 0.00150 -17.17328 -16.99195 0.00151 -17.17505 -16.99526 0.00151 -17.17645 -16.99785 0.00151 -17.17760 
7777.913232 1.9384 -8.362 -0.912 0.765 20.84 -10.965 MSCL0_1701240056 -16.99064 0.00104 -17.17632 -16.99651 0.00105 -17.17858 -17.00032 0.00106 -17.18013 -17.00320 0.00108 -17.18135 -17.00554 0.00109 -17.18230 
7777.913984 1.9261 -8.357 -1.234 -0.501 19.99 -10.980 MSCL0_1701240057 -16.98558 0.00103 -17.17349 -16.99042 0.00104 -17.17536 -16.99366 0.00105 -17.17655 -16.99609 0.00106 -17.17736 -16.99823 0.00108 -17.17808 
7777.914725 1.9142 -8.353 -1.542 -0.512 20.60 -10.922 MSCL0_1701240058 -16.98486 0.00102 -17.17000 -16.99012 0.00103 -17.17219 -16.99369 0.00105 -17.17370 -16.99613 0.00106 -17.17496 -16.99840 0.00108 -17.17550 
7777.915466 1.9025 -8.331 -1.067 0.865 20.86 -10.952 MSCL0_1701240059 -16.99456 0.00101 -17.18309 -16.99982 0.00102 -17.18489 -17.00326 0.00103 -17.18630 -17.00598 0.00105 -17.18745 -17.00835 0.00106 -17.18843 
7777.916218 1.8907 -8.324 -0.677 -0.072 19.50 -11.089 MSCL0_1701240060 -16.99723 0.00100 -17.18561 -17.00152 0.00101 -17.18724 -17.00389 0.00103 -17.18851 -17.00574 0.00104 -17.18936 -17.00786 0.00106 -17.18993 
7777.916959 1.8793 -8.343 -1.143 -0.413 20.10 -11.004 MSCL0_1701240061 -16.97484 0.00100 -17.16177 -16.97936 0.00101 -17.16341 -16.98217 0.00103 -17.16452 -16.98448 0.00104 -17.16553 -16.98647 0.00106 -17.16639 
7777.917700 1.8680 -8.291 -1.892 1.160 19.76 -11.105 MSCL0_1701240062 -17.00750 0.00098 -17.19742 -17.01202 0.00100 -17.19903 -17.01500 0.00101 -17.20044 -17.01718 0.00102 -17.20136 -17.01918 0.00104 -17.20204 
7777.918452 1.8567 -8.274 -1.036 -0.068 22.02 -10.830 MSCL0_1701240063 -17.00763 0.00098 -17.19761 -17.01348 0.00099 -17.19992 -17.01740 0.00100 -17.20148 -17.02014 0.00101 -17.20258 -17.02226 0.00103 -17.20362 
7777.919193 1.8458 -8.289 -0.676 -0.986 20.15 -10.989 MSCL0_1701240064 -16.99814 0.00097 -17.18885 -17.00332 0.00099 -17.19088 -17.00658 0.00100 -17.19250 -17.00934 0.00101 -17.19349 -17.01161 0.00103 -17.19441 
7777.919922 1.8352 -8.568 -1.390 0.167 20.78 -10.610 MSCL0_1701240065 -16.68181 0.00110 -16.86455 -16.68878 0.00112 -16.86729 -16.69339 0.00115 -16.86942 -16.69649 0.00117 -16.87081 -16.69953 0.00120 -16.87161 
7777.920674 1.8243 -8.254 -0.630 0.257 19.77 -10.969 MSCL0_1701240066 -17.01337 0.00096 -17.20388 -17.01965 0.00097 -17.20653 -17.02406 0.00098 -17.20850 -17.02738 0.00099 -17.21003 -17.02996 0.00101 -17.21101 
7777.921415 1.8138 -8.239 -0.865 0.331 20.83 -10.989 MSCL0_1701240067 -17.02387 0.00094 -17.21277 -17.02939 0.00096 -17.21452 -17.03283 0.00097 -17.21588 -17.03561 0.00098 -17.21698 -17.03790 0.00100 -17.21790 
7777.922156 1.8035 -8.231 -2.635 0.248 20.40 -11.002 MSCL0_1701240068 -17.01962 0.00094 -17.21118 -17.02522 0.00095 -17.21345 -17.02938 0.00096 -17.21495 -17.03229 0.00098 -17.21628 -17.03457 0.00099 -17.21704 
7777.922896 1.7933 -8.223 0.188 -0.668 20.23 -10.990 MSCL0_1701240069 -17.02555 0.00093 -17.21486 -17.03073 0.00094 -17.21682 -17.03383 0.00096 -17.21814 -17.03621 0.00097 -17.21922 -17.03842 0.00098 -17.22015 
7777.923637 1.7832 -8.214 -0.606 1.158 20.07 -11.035 MSCL0_1701240070 -17.03062 0.00093 -17.21748 -17.03535 0.00094 -17.21918 -17.03843 0.00095 -17.22032 -17.04057 0.00096 -17.22119 -17.04297 0.00098 -17.22197 
7777.924389 1.7731 -8.203 -1.405 -0.641 20.59 -11.018 MSCL0_1701240071 -17.03129 0.00092 -17.22006 -17.03657 0.00093 -17.22225 -17.03990 0.00094 -17.22375 -17.04256 0.00095 -17.22492 -17.04485 0.00097 -17.22570 
7777.925130 1.7633 -8.201 -0.870 0.329 19.32 -11.050 MSCL0_1701240072 -17.03023 0.00091 -17.22209 -17.03554 0.00093 -17.22426 -17.03908 0.00094 -17.22571 -17.04187 0.00095 -17.22669 -17.04433 0.00096 -17.22753 
7777.925883 1.7534 -8.195 -1.327 -0.158 21.02 -10.972 MSCL0_1701240073 -17.02958 0.00091 -17.22088 -17.03473 0.00092 -17.22281 -17.03811 0.00093 -17.22434 -17.04097 0.00094 -17.22520 -17.04339 0.00096 -17.22611 
7777.926623 1.7439 -8.180 -0.423 0.353 20.31 -10.938 MSCL0_1701240074 -17.03123 0.00090 -17.22056 -17.03686 0.00091 -17.22269 -17.04059 0.00092 -17.22459 -17.04323 0.00094 -17.22568 -17.04526 0.00095 -17.22647 
7777.927364 1.7344 -8.171 -0.938 -0.417 20.71 -10.934 MSCL0_1701240075 -17.03022 0.00089 -17.22217 -17.03652 0.00090 -17.22461 -17.04046 0.00092 -17.22634 -17.04346 0.00093 -17.22772 -17.04602 0.00094 -17.22858 
7777.928116 1.7250 -8.160 -0.891 1.614 20.32 -10.969 MSCL0_1701240076 -17.03616 0.00089 -17.22742 -17.04140 0.00090 -17.22952 -17.04491 0.00091 -17.23097 -17.04743 0.00092 -17.23213 -17.04939 0.00094 -17.23279 
7777.928857 1.7158 -8.137 -0.526 -1.463 19.06 -11.084 MSCL0_1701240077 -17.04336 0.00088 -17.23122 -17.04826 0.00089 -17.23329 -17.05141 0.00090 -17.23480 -17.05391 0.00092 -17.23589 -17.05598 0.00093 -17.23668 
7777.929598 1.7067 -8.125 -1.336 1.667 20.65 -10.972 MSCL0_1701240078 -17.04149 0.00088 -17.23381 -17.04648 0.00089 -17.23594 -17.05014 0.00090 -17.23763 -17.05308 0.00091 -17.23893 -17.05530 0.00092 -17.23967 
7777.930339 1.6978 -8.117 -0.756 -1.323 19.12 -11.095 MSCL0_1701240079 -17.04321 0.00087 -17.23158 -17.04800 0.00088 -17.23360 -17.05087 0.00089 -17.23503 -17.05326 0.00091 -17.23610 -17.05544 0.00092 -17.23694 
7777.931091 1.6888 -8.106 -0.685 0.820 18.99 -11.071 MSCL0_1701240080 -17.04259 0.00087 -17.23255 -17.04743 0.00088 -17.23448 -17.05040 0.00089 -17.23595 -17.05298 0.00090 -17.23695 -17.05520 0.00091 -17.23760 
