# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909298 2.0057 -7.381 -0.054 -0.136 18.77 -10.931 MSCL1_1701240051 -16.97708 0.00262 -15.58613 -16.98047 0.00162 -15.58759 -16.98277 0.00163 -15.58922 -16.98445 0.00163 -15.58956 -16.98589 0.00164 -15.58996 
7777.909587 2.0006 -7.380 1.236 1.254 19.26 -10.770 MSCL1_1701240052 -16.97303 0.00265 -15.58269 -16.97755 0.00266 -15.58465 -16.98059 0.00162 -15.58600 -16.98281 0.00163 -15.58768 -16.98463 0.00163 -15.58850 
7777.909877 1.9955 -7.369 0.085 -0.773 19.02 -10.828 MSCL1_1701240053 -16.97593 0.00268 -15.58514 -16.98023 0.00269 -15.58568 -16.98287 0.00268 -15.58687 -16.98495 0.00162 -15.58750 -16.98653 0.00163 -15.58810 
7777.910154 1.9906 -7.348 0.250 -0.267 17.84 -10.911 MSCL1_1701240054 -16.97700 0.00271 -15.58966 -16.98137 0.00272 -15.59185 -16.98436 0.00271 -15.59307 -16.98635 0.00270 -15.59350 -16.98801 0.00162 -15.59464 
7777.910444 1.9856 -7.332 0.903 0.744 16.32 -11.145 MSCL1_1701240055 -16.98188 0.00275 -15.59167 -16.98497 0.00276 -15.59338 -16.98716 0.00275 -15.59501 -16.98872 0.00274 -15.59608 -16.98995 0.00273 -15.59664 
7777.910733 1.9806 -7.318 -0.327 1.313 19.17 -10.814 MSCL1_1701240056 -16.98030 0.00159 -15.59300 -16.98478 0.00159 -15.59468 -16.98755 0.00159 -15.59606 -16.98948 0.00160 -15.59693 -16.99123 0.00160 -15.59740 
7777.911011 1.9758 -7.323 -0.814 -1.313 19.38 -10.872 MSCL1_1701240057 -16.98414 0.00158 -15.59470 -16.98862 0.00159 -15.59646 -16.99132 0.00159 -15.59756 -16.99353 0.00159 -15.59860 -16.99542 0.00160 -15.59914 
7777.911300 1.9708 -7.328 1.003 -0.564 18.62 -10.896 MSCL1_1701240058 -16.98528 0.00157 -15.59424 -16.98933 0.00158 -15.59556 -16.99197 0.00158 -15.59706 -16.99405 0.00159 -15.59829 -16.99569 0.00159 -15.59951 
7777.911578 1.9661 -7.321 1.617 1.504 17.79 -10.935 MSCL1_1701240059 -16.98688 0.00157 -15.59450 -16.99074 0.00157 -15.59560 -16.99311 0.00158 -15.59728 -16.99472 0.00158 -15.59837 -16.99628 0.00159 -15.59892 
7777.911856 1.9614 -7.312 0.810 1.430 19.73 -10.705 MSCL1_1701240060 -16.98693 0.00156 -15.59614 -16.99214 0.00157 -15.59755 -16.99546 0.00157 -15.59861 -16.99778 0.00157 -15.59928 -16.99963 0.00158 -15.60038 
7777.912134 1.9567 -7.304 0.584 -1.304 20.17 -10.678 MSCL1_1701240061 -16.98339 0.00156 -15.59388 -16.98915 0.00156 -15.59691 -16.99298 0.00156 -15.59913 -16.99550 0.00157 -15.60025 -16.99764 0.00157 -15.60174 
7777.912410 1.9520 -7.306 0.420 -1.407 20.05 -10.618 MSCL1_1701240062 -16.97834 0.00155 -15.59316 -16.98537 0.00156 -15.59644 -16.99010 0.00156 -15.59917 -16.99333 0.00156 -15.60144 -16.99581 0.00157 -15.60341 
7777.912688 1.9474 -7.305 -0.227 1.190 18.62 -10.805 MSCL1_1701240063 -16.98172 0.00155 -15.59881 -16.98715 0.00155 -15.60121 -16.99071 0.00155 -15.60320 -16.99330 0.00156 -15.60523 -16.99522 0.00156 -15.60636 
7777.912977 1.9426 -7.306 -0.142 1.370 21.30 -10.580 MSCL1_1701240064 -16.98143 0.00154 -15.59434 -16.98808 0.00154 -15.59716 -16.99255 0.00155 -15.59930 -16.99579 0.00155 -15.60069 -16.99808 0.00156 -15.60160 
7777.913244 1.9382 -7.297 1.078 1.085 18.55 -10.852 MSCL1_1701240065 -16.98674 0.00153 -15.59547 -16.99182 0.00154 -15.59740 -16.99518 0.00154 -15.59859 -16.99748 0.00155 -15.59930 -16.99936 0.00155 -15.59986 
7777.913521 1.9337 -7.289 1.147 0.943 19.04 -11.048 MSCL1_1701240066 -16.99391 0.00153 -15.60212 -16.99741 0.00153 -15.60381 -16.99947 0.00154 -15.60502 -17.00117 0.00154 -15.60598 -17.00261 0.00155 -15.60712 
7777.913811 1.9290 -7.290 1.455 0.468 19.23 -10.808 MSCL1_1701240067 -16.98851 0.00152 -15.59822 -16.99264 0.00153 -15.59986 -16.99534 0.00153 -15.60101 -16.99715 0.00153 -15.60202 -16.99867 0.00154 -15.60238 
7777.914089 1.9245 -7.303 -0.135 -0.844 18.80 -10.886 MSCL1_1701240068 -16.98456 0.00152 -15.59630 -16.98857 0.00152 -15.59756 -16.99125 0.00153 -15.59883 -16.99326 0.00153 -15.59954 -16.99470 0.00154 -15.60038 
7777.914366 1.9200 -7.308 -2.089 -0.156 20.95 -10.671 MSCL1_1701240069 -16.98566 0.00151 -15.59422 -16.99011 0.00152 -15.59662 -16.99286 0.00152 -15.59847 -16.99493 0.00153 -15.59986 -16.99672 0.00153 -15.60063 
7777.914656 1.9153 -7.309 -0.266 -0.970 17.71 -10.961 MSCL1_1701240070 -16.98233 0.00151 -15.59361 -16.98663 0.00151 -15.59585 -16.98949 0.00151 -15.59665 -16.99159 0.00152 -15.59738 -16.99335 0.00152 -15.59785 
7777.914945 1.9107 -7.295 1.045 0.002 19.36 -10.725 MSCL1_1701240071 -16.98821 0.00150 -15.60170 -16.99358 0.00150 -15.60339 -16.99727 0.00151 -15.60530 -16.99978 0.00151 -15.60628 -17.00186 0.00152 -15.60763 
7777.915234 1.9061 -7.278 2.159 2.034 18.09 -10.968 MSCL1_1701240072 -16.99215 0.00149 -15.60410 -16.99604 0.00150 -15.60604 -16.99839 0.00150 -15.60696 -17.00010 0.00151 -15.60832 -17.00150 0.00151 -15.60913 
7777.915512 1.9017 -7.272 -0.769 0.374 20.65 -10.786 MSCL1_1701240073 -16.99251 0.00149 -15.60664 -16.99725 0.00149 -15.60829 -17.00032 0.00150 -15.60914 -17.00230 0.00150 -15.61012 -17.00412 0.00151 -15.61107 
7777.915813 1.8970 -7.261 0.512 1.219 17.50 -10.914 MSCL1_1701240074 -16.99435 0.00148 -15.60264 -16.99879 0.00149 -15.60438 -17.00170 0.00149 -15.60556 -17.00385 0.00150 -15.60662 -17.00551 0.00150 -15.60751 
7777.916091 1.8927 -7.264 1.397 0.464 18.90 -10.858 MSCL1_1701240075 -16.99293 0.00148 -15.61072 -16.99664 0.00148 -15.61217 -16.99886 0.00149 -15.61282 -17.00062 0.00149 -15.61316 -17.00207 0.00150 -15.61397 
7777.916380 1.8882 -7.272 0.053 -0.389 17.98 -11.060 MSCL1_1701240076 -16.99444 0.00147 -15.60786 -16.99736 0.00148 -15.60865 -16.99891 0.00148 -15.60939 -17.00009 0.00148 -15.60980 -17.00120 0.00149 -15.61029 
7777.916658 1.8839 -7.285 -0.379 -0.574 17.73 -11.020 MSCL1_1701240077 -16.99210 0.00147 -15.60360 -16.99551 0.00147 -15.60477 -16.99752 0.00148 -15.60572 -16.99907 0.00148 -15.60649 -17.00035 0.00149 -15.60737 
7777.916947 1.8794 -7.279 0.616 -0.157 19.24 -10.904 MSCL1_1701240078 -16.99215 0.00146 -15.60629 -16.99614 0.00147 -15.60780 -16.99851 0.00147 -15.60888 -17.00014 0.00148 -15.60939 -17.00155 0.00148 -15.61021 
7777.917237 1.8750 -7.385 0.824 -0.466 19.49 -10.797 MSCL1_1701240079 -16.93582 0.00147 -15.54506 -16.94066 0.00147 -15.54731 -16.94379 0.00148 -15.54851 -16.94577 0.00148 -15.54902 -16.94775 0.00149 -15.55044 
7777.917514 1.8708 -7.234 1.116 1.436 17.64 -11.079 MSCL1_1701240080 -16.99939 0.00145 -15.61319 -17.00257 0.00145 -15.61455 -17.00470 0.00146 -15.61561 -17.00617 0.00146 -15.61650 -17.00751 0.00147 -15.61671 
7777.917792 1.8666 -7.233 -1.408 2.074 18.52 -10.959 MSCL1_1701240081 -17.00013 0.00144 -15.61054 -17.00431 0.00145 -15.61260 -17.00687 0.00145 -15.61353 -17.00875 0.00146 -15.61402 -17.01038 0.00146 -15.61472 
7777.918082 1.8623 -7.223 -0.495 -1.169 19.73 -10.762 MSCL1_1701240082 -16.99928 0.00144 -15.61184 -17.00449 0.00144 -15.61378 -17.00756 0.00145 -15.61497 -17.00994 0.00145 -15.61584 -17.01170 0.00146 -15.61612 
7777.918359 1.8581 -7.214 1.830 -0.718 20.13 -10.745 MSCL1_1701240083 -16.99716 0.00143 -15.61081 -17.00242 0.00144 -15.61298 -17.00577 0.00144 -15.61458 -17.00801 0.00145 -15.61563 -17.00986 0.00145 -15.61688 
7777.918649 1.8538 -7.208 -1.367 2.097 21.11 -10.619 MSCL1_1701240084 -16.99572 0.00143 -15.61191 -17.00108 0.00143 -15.61363 -17.00464 0.00144 -15.61504 -17.00713 0.00144 -15.61636 -17.00900 0.00145 -15.61876 
7777.918938 1.8495 -7.210 0.015 0.241 18.14 -10.965 MSCL1_1701240085 -17.00405 0.00142 -15.61477 -17.00821 0.00143 -15.61627 -17.01083 0.00143 -15.61772 -17.01261 0.00144 -15.61825 -17.01394 0.00144 -15.61885 
7777.919204 1.8456 -7.221 0.617 -0.884 19.41 -10.852 MSCL1_1701240086 -16.99886 0.00142 -15.61052 -17.00393 0.00142 -15.61251 -17.00724 0.00143 -15.61429 -17.00965 0.00143 -15.61555 -17.01149 0.00144 -15.61632 
7777.919494 1.8414 -7.451 1.645 -2.326 19.50 -10.643 MSCL1_1701240087 -16.89538 0.00143 -15.50565 -16.90144 0.00144 -15.50803 -16.90552 0.00144 -15.50905 -16.90852 0.00145 -15.51004 -16.91062 0.00146 -15.51086 
7777.919783 1.8372 -7.614 1.184 0.725 19.89 -10.552 MSCL1_1701240088 -16.80714 0.00145 -15.42754 -16.81373 0.00145 -15.43015 -16.81786 0.00146 -15.43193 -16.82060 0.00147 -15.43265 -16.82290 0.00148 -15.43403 
7777.920049 1.8333 -8.057 -1.236 0.680 17.79 -10.418 MSCL1_1701240089 -16.35929 0.00158 -14.95182 -16.36463 0.00160 -14.95314 -16.36807 0.00162 -14.95492 -16.37065 0.00165 -14.95557 -16.37290 0.00167 -14.95628 
7777.920327 1.8293 -7.220 -0.806 1.105 18.04 -10.864 MSCL1_1701240090 -17.00017 0.00140 -15.60870 -17.00556 0.00141 -15.61056 -17.00894 0.00141 -15.61163 -17.01135 0.00141 -15.61264 -17.01302 0.00142 -15.61357 
7777.920605 1.8253 -7.198 2.021 0.335 19.21 -10.709 MSCL1_1701240091 -16.99784 0.00140 -15.60896 -17.00460 0.00140 -15.61204 -17.00918 0.00140 -15.61439 -17.01250 0.00141 -15.61556 -17.01497 0.00141 -15.61697 
7777.920894 1.8212 -7.179 -0.407 -0.220 17.86 -10.845 MSCL1_1701240092 -16.99959 0.00139 -15.61129 -17.00537 0.00139 -15.61393 -17.00930 0.00140 -15.61576 -17.01194 0.00140 -15.61669 -17.01418 0.00141 -15.61804 
7777.921172 1.8173 -7.177 -1.364 0.672 18.81 -10.852 MSCL1_1701240093 -17.00857 0.00139 -15.62405 -17.01341 0.00139 -15.62665 -17.01650 0.00139 -15.62823 -17.01882 0.00140 -15.62885 -17.02053 0.00140 -15.62940 
7777.921450 1.8133 -7.175 0.772 -0.040 18.53 -10.843 MSCL1_1701240094 -17.00831 0.00138 -15.62141 -17.01311 0.00139 -15.62264 -17.01616 0.00139 -15.62394 -17.01817 0.00139 -15.62538 -17.01993 0.00140 -15.62616 
7777.921727 1.8094 -7.172 2.217 1.113 18.23 -11.003 MSCL1_1701240095 -17.01032 0.00138 -15.61971 -17.01423 0.00138 -15.62095 -17.01668 0.00138 -15.62271 -17.01835 0.00139 -15.62385 -17.01984 0.00139 -15.62489 
