# BJD(TDB)-2450000 airmass sky(mag) dx(pix) dy(pix) fwhm(pix) peak(mag) frame mag_t(r=28.0) mag_t-c_err(r=28.0) mag_c(r=28.0) mag_t(r=30.0) mag_t-c_err(r=30.0) mag_c(r=30.0) mag_t(r=32.0) mag_t-c_err(r=32.0) mag_c(r=32.0) mag_t(r=34.0) mag_t-c_err(r=34.0) mag_c(r=34.0) mag_t(r=36.0) mag_t-c_err(r=36.0) mag_c(r=36.0) 
7777.909495 2.0022 -6.555 1.593 1.054 20.55 -10.849 MSCL2_1701240051 -17.08102 0.00223 -15.10481 -17.08479 0.00108 -15.10701 -17.08739 0.00108 -15.10836 -17.08936 0.00108 -15.10950 -17.09084 0.00109 -15.11024 
7777.910120 1.9912 -6.531 1.257 0.148 19.23 -10.932 MSCL2_1701240052 -17.07947 0.00228 -15.10484 -17.08345 0.00228 -15.10688 -17.08623 0.00107 -15.10829 -17.08817 0.00108 -15.10843 -17.08969 0.00108 -15.10984 
7777.910756 1.9802 -6.518 0.634 1.202 20.15 -10.864 MSCL2_1701240053 -17.08162 0.00234 -15.10770 -17.08592 0.00234 -15.10976 -17.08881 0.00233 -15.11130 -17.09090 0.00107 -15.11345 -17.09250 0.00107 -15.11513 
7777.911381 1.9694 -6.525 2.002 0.604 20.44 -10.834 MSCL2_1701240054 -17.08571 0.00240 -15.10977 -17.08986 0.00240 -15.11190 -17.09261 0.00238 -15.11356 -17.09469 0.00238 -15.11526 -17.09628 0.00106 -15.11608 
7777.912006 1.9588 -6.518 1.591 0.304 22.34 -10.606 MSCL2_1701240055 -17.08163 0.00246 -15.10722 -17.08753 0.00246 -15.11044 -17.09143 0.00244 -15.11223 -17.09414 0.00244 -15.11453 -17.09643 0.00244 -15.11612 
7777.912642 1.9482 -6.522 0.894 1.452 20.97 -10.719 MSCL2_1701240056 -17.07759 0.00103 -15.10837 -17.08347 0.00104 -15.11090 -17.08756 0.00104 -15.11299 -17.09025 0.00104 -15.11503 -17.09242 0.00105 -15.11587 
7777.913278 1.9376 -6.514 1.628 1.511 20.26 -10.852 MSCL2_1701240057 -17.08488 0.00103 -15.10740 -17.08985 0.00103 -15.10967 -17.09327 0.00103 -15.11101 -17.09570 0.00104 -15.11261 -17.09764 0.00104 -15.11334 
7777.913903 1.9274 -6.504 1.595 0.454 20.22 -10.860 MSCL2_1701240058 -17.08441 0.00102 -15.10905 -17.08833 0.00102 -15.11102 -17.09100 0.00102 -15.11298 -17.09275 0.00103 -15.11354 -17.09415 0.00103 -15.11397 
7777.914540 1.9172 -6.497 -0.176 0.060 21.20 -10.796 MSCL2_1701240059 -17.08317 0.00101 -15.10296 -17.08750 0.00101 -15.10461 -17.09053 0.00102 -15.10621 -17.09270 0.00102 -15.10745 -17.09438 0.00102 -15.10944 
7777.915165 1.9072 -6.485 2.337 1.645 20.73 -10.803 MSCL2_1701240060 -17.08603 0.00100 -15.11180 -17.09051 0.00101 -15.11391 -17.09346 0.00101 -15.11597 -17.09567 0.00101 -15.11734 -17.09722 0.00102 -15.11890 
7777.915790 1.8974 -6.483 0.734 1.250 20.27 -10.900 MSCL2_1701240061 -17.08616 0.00100 -15.11034 -17.09052 0.00100 -15.11327 -17.09353 0.00100 -15.11473 -17.09577 0.00101 -15.11635 -17.09733 0.00101 -15.11750 
7777.916427 1.8875 -6.486 1.113 0.150 19.91 -10.997 MSCL2_1701240062 -17.08964 0.00099 -15.11430 -17.09286 0.00099 -15.11597 -17.09500 0.00099 -15.11712 -17.09637 0.00100 -15.11788 -17.09763 0.00100 -15.11916 
7777.917052 1.8779 -6.542 1.281 0.362 20.88 -10.825 MSCL2_1701240063 -17.06198 0.00098 -15.08481 -17.06611 0.00099 -15.08695 -17.06883 0.00099 -15.08761 -17.07093 0.00100 -15.08880 -17.07254 0.00100 -15.08940 
7777.917665 1.8685 -6.456 0.562 2.234 19.82 -11.006 MSCL2_1701240064 -17.09290 0.00097 -15.11683 -17.09672 0.00098 -15.11859 -17.09918 0.00098 -15.12050 -17.10099 0.00098 -15.12106 -17.10221 0.00099 -15.12284 
7777.918302 1.8590 -6.452 1.601 -0.058 21.70 -10.675 MSCL2_1701240065 -17.08939 0.00097 -15.11246 -17.09452 0.00097 -15.11483 -17.09784 0.00097 -15.11649 -17.10019 0.00098 -15.11876 -17.10206 0.00098 -15.12051 
7777.918938 1.8495 -6.446 0.425 1.086 20.09 -10.872 MSCL2_1701240066 -17.09233 0.00096 -15.11928 -17.09684 0.00096 -15.12113 -17.09983 0.00097 -15.12303 -17.10197 0.00097 -15.12423 -17.10354 0.00097 -15.12501 
7777.919563 1.8404 -6.641 2.317 -0.341 20.98 -10.633 MSCL2_1701240067 -16.99863 0.00097 -15.02850 -17.00468 0.00097 -15.03109 -17.00864 0.00098 -15.03335 -17.01142 0.00098 -15.03515 -17.01342 0.00099 -15.03684 
7777.920200 1.8311 -6.858 -0.091 1.461 19.91 -10.630 MSCL2_1701240068 -16.83690 0.00099 -14.84730 -16.84262 0.00100 -14.85059 -16.84637 0.00101 -14.85273 -16.84907 0.00101 -14.85365 -16.85126 0.00102 -14.85445 
7777.920836 1.8220 -6.437 1.042 0.895 20.51 -10.768 MSCL2_1701240069 -17.08919 0.00094 -15.11379 -17.09538 0.00094 -15.11731 -17.09963 0.00095 -15.11980 -17.10258 0.00095 -15.12234 -17.10491 0.00096 -15.12366 
7777.921461 1.8132 -6.443 1.602 1.145 20.81 -10.812 MSCL2_1701240070 -17.09549 0.00093 -15.12187 -17.10006 0.00094 -15.12419 -17.10307 0.00094 -15.12585 -17.10514 0.00094 -15.12801 -17.10674 0.00095 -15.12941 
7777.922086 1.8044 -6.418 0.237 1.091 19.76 -10.926 MSCL2_1701240071 -17.09285 0.00093 -15.12149 -17.09778 0.00093 -15.12448 -17.10117 0.00094 -15.12745 -17.10357 0.00094 -15.12876 -17.10535 0.00094 -15.12997 
7777.922700 1.7959 -6.426 1.325 0.514 20.70 -10.813 MSCL2_1701240072 -17.09071 0.00092 -15.11878 -17.09650 0.00093 -15.12157 -17.10029 0.00093 -15.12358 -17.10298 0.00093 -15.12566 -17.10495 0.00094 -15.12683 
7777.923336 1.7872 -6.412 1.248 1.324 20.23 -10.840 MSCL2_1701240073 -17.09885 0.00092 -15.12224 -17.10276 0.00092 -15.12458 -17.10534 0.00092 -15.12626 -17.10720 0.00093 -15.12761 -17.10868 0.00093 -15.12876 
7777.923950 1.7790 -6.412 1.134 0.717 21.01 -10.858 MSCL2_1701240074 -17.09960 0.00091 -15.12505 -17.10357 0.00091 -15.12725 -17.10626 0.00092 -15.12901 -17.10814 0.00092 -15.13024 -17.10970 0.00093 -15.13145 
7777.924575 1.7706 -6.409 0.622 0.509 18.04 -10.975 MSCL2_1701240075 -17.09540 0.00091 -15.12400 -17.10016 0.00091 -15.12699 -17.10340 0.00091 -15.12924 -17.10590 0.00092 -15.13140 -17.10784 0.00092 -15.13291 
7777.925200 1.7623 -6.405 1.033 0.723 20.19 -10.871 MSCL2_1701240076 -17.09645 0.00090 -15.11470 -17.10102 0.00090 -15.11753 -17.10413 0.00091 -15.11982 -17.10645 0.00091 -15.12130 -17.10823 0.00092 -15.12329 
7777.925825 1.7542 -6.409 0.890 0.527 20.85 -10.836 MSCL2_1701240077 -17.09667 0.00090 -15.12456 -17.10096 0.00090 -15.12663 -17.10374 0.00090 -15.12871 -17.10586 0.00091 -15.13058 -17.10764 0.00091 -15.13174 
7777.926450 1.7461 -6.392 1.072 0.973 22.13 -10.665 MSCL2_1701240078 -17.09396 0.00089 -15.11751 -17.09960 0.00089 -15.12022 -17.10342 0.00090 -15.12255 -17.10613 0.00090 -15.12433 -17.10824 0.00090 -15.12591 
7777.927086 1.7380 -6.401 0.915 -0.027 19.69 -10.882 MSCL2_1701240079 -17.09333 0.00089 -15.11945 -17.09831 0.00089 -15.12240 -17.10173 0.00089 -15.12456 -17.10424 0.00090 -15.12545 -17.10618 0.00090 -15.12638 
